gene,description,function,log2_change,fold_change_derived,percent_change_derived,direction_derived,time_day,comparison,evidence,source
ITGB3,Integrin beta 3,Cell adhesion; angiogenesis; osteolysis,-0.64,0.6417129487814521,-0.35828705121854787,Down,55,Cilengitide treated vs control,Reported,Table 1
ITGB5,Integrin beta 5,Cell adhesion; angiogenesis,-0.4,0.757858283255199,-0.242141716744801,Down,55,Cilengitide treated vs control,Reported,Table 1
MMP11,Matrix metalloproteinase 11,ECM remodeling,0.41,1.3286858140965117,0.32868581409651165,Up,55,Cilengitide treated vs control,Reported,Table 1
MMP14,Matrix metalloproteinase 14,ECM remodeling,0.25,1.189207115002721,0.18920711500272103,Up,55,Cilengitide treated vs control,Reported,Table 1
MMP26,Matrix metalloproteinase 26,ECM remodeling,-0.45,0.7320428479728127,-0.2679571520271873,Down,55,Cilengitide treated vs control,Reported,Table 1
PDGFB,Platelet-derived growth factor beta,Angiogenesis,-0.33,0.7955364837549187,-0.2044635162450813,Down,55,Cilengitide treated vs control,Reported,Table 1
PTHrP,Parathyroid hormone-related peptide,Osteolysis / osteoblastic metastasis,-0.73,0.6029039138453802,-0.3970960861546198,Down,55,Cilengitide treated vs control,Reported,Table 1
RANKL,Receptor activator of NF-kB ligand,Osteolysis,-1.28,0.41179550863378656,-0.5882044913662134,Down,55,Cilengitide treated vs control,Reported,Table 1
ROBO2,Roundabout homolog 2,Angiogenesis,-0.41,0.7526233737055337,-0.24737662629446633,Down,55,Cilengitide treated vs control,Reported,Table 1
TGFB3,Transforming growth factor beta 3,Osteolysis / osteoblastic activity,0.41,1.3286858140965117,0.32868581409651165,Up,55,Cilengitide treated vs control,Reported,Table 1
TNFA,Tumor necrosis factor alpha,Osteolysis / osteoblastic activity,0.54,1.4539725173203106,0.45397251732031063,Up,55,Cilengitide treated vs control,Reported,Table 1
TP53I11,Tumor protein p53 inducible protein 11,Angiogenic signaling,-0.66,0.63287829698514,-0.36712170301486,Down,55,Cilengitide treated vs control,Reported,Table 1
VEGFA,Vascular endothelial growth factor A,Angiogenesis,-0.33,0.7955364837549187,-0.2044635162450813,Down,55,Cilengitide treated vs control,Reported,Table 1
