record_id,figure_panel,cell_line,alteration,exposure_hours,pemigatinib_nM,phosphoprotein,total_protein,signal_raw_integrated_inverse_gray_px,signal_local_background_mean_inverse_gray,signal_background_corrected,total_raw_integrated_inverse_gray_px,total_local_background_mean_inverse_gray,total_background_corrected,phospho_to_total,vehicle_normalized_phospho_to_total,value_provenance,quantification_status
P32315352_KG1A_PERK_04,Fig.2A,KG1a,FGFR1OP2-FGFR1,2,2,pERK1_2_T202_Y204,ERK1_2,609.6,11.30,101.0,4717.9,11.31,4208.9,0.0240,0.0760,digitized_from_published_figure_image,usable_single_blot
P32315352_KG1A_PERK_05,Fig.2A,KG1a,FGFR1OP2-FGFR1,2,0.7,pERK1_2_T202_Y204,ERK1_2,780.7,9.16,368.3,4937.6,9.17,4525.1,0.0814,0.258,digitized_from_published_figure_image,usable_single_blot
P32315352_KG1A_PERK_06,Fig.2A,KG1a,FGFR1OP2-FGFR1,2,0.2,pERK1_2_T202_Y204,ERK1_2,921.1,6.92,609.6,4978.6,6.93,4666.9,0.1306,0.414,digitized_from_published_figure_image,usable_single_blot
P32315352_KG1A_PERK_07,Fig.2A,KG1a,FGFR1OP2-FGFR1,2,0.06,pERK1_2_T202_Y204,ERK1_2,1049.8,6.92,738.2,4396.9,6.93,4085.0,0.1807,0.573,digitized_from_published_figure_image,usable_single_blot
P32315352_KG1A_PERK_08,Fig.2A,KG1a,FGFR1OP2-FGFR1,2,0,pERK1_2_T202_Y204,ERK1_2,1850.7,7.46,1515.1,5139.6,7.47,4803.4,0.3154,1.000,digitized_from_published_figure_image,usable_single_blot
P32315352_KG1A_PSTAT5_01,Fig.2A,KG1a,FGFR1OP2-FGFR1,2,54,pSTAT5_Y694,STAT5,140.4,5.01,-60.0,983.4,4.18,816.1,0,0,digitized_from_published_figure_image,below_local_background
P32315352_KG1A_PSTAT5_02,Fig.2A,KG1a,FGFR1OP2-FGFR1,2,18,pSTAT5_Y694,STAT5,416.1,10.21,7.7,2236.4,9.21,1867.8,0.0041,0.0029,digitized_from_published_figure_image,near_background
P32315352_KG1A_PSTAT5_03,Fig.2A,KG1a,FGFR1OP2-FGFR1,2,6,pSTAT5_Y694,STAT5,337.4,13.83,-215.7,2363.3,12.52,1862.4,0,0,digitized_from_published_figure_image,below_local_background
P32315352_KG1A_PSTAT5_04,Fig.2A,KG1a,FGFR1OP2-FGFR1,2,2,pSTAT5_Y694,STAT5,575.5,7.61,271.0,2254.6,6.71,1986.1,0.1364,0.0948,digitized_from_published_figure_image,usable_single_blot
P32315352_KG1A_PSTAT5_05,Fig.2A,KG1a,FGFR1OP2-FGFR1,2,0.7,pSTAT5_Y694,STAT5,1443.6,8.66,1097.1,2235.4,7.26,1945.2,0.5640,0.392,digitized_from_published_figure_image,usable_single_blot
P32315352_KG1A_PSTAT5_06,Fig.2A,KG1a,FGFR1OP2-FGFR1,2,0.2,pSTAT5_Y694,STAT5,2762.8,8.14,2437.2,2487.1,6.87,2212.2,1.1017,0.765,digitized_from_published_figure_image,usable_single_blot
P32315352_KG1A_PSTAT5_07,Fig.2A,KG1a,FGFR1OP2-FGFR1,2,0.06,pSTAT5_Y694,STAT5,3558.0,9.17,3191.1,2891.1,7.93,2573.7,1.2399,0.862,digitized_from_published_figure_image,usable_single_blot
P32315352_KG1A_PSTAT5_08,Fig.2A,KG1a,FGFR1OP2-FGFR1,2,0,pSTAT5_Y694,STAT5,4246.0,9.77,3855.3,3010.2,8.29,2678.6,1.4393,1.000,digitized_from_published_figure_image,usable_single_blot
