record_id,figure_table_panel,drug,drug_concentration,concentration_units,exposure_time,cell_line,genotype_mutation,stimulus_ligand_conditions,measured_observable,assay_type,normalization,experimental_value,value_unit,error_uncertainty,replicate_count,value_provenance,notes
P32315352_011,Table 1,INCB054828 (pemigatinib),serial dilution,nM,72 h,DMS-114,FGFR1 amplification,0.1% DMSO vehicle control,GI50,CellTiter-Glo ATP viability assay,relative to DMSO control,27,nM,not reported,minimum 3 independent experiments,directly tabulated,Human lung cancer line.
P32315352_012,Table 1,INCB054828 (pemigatinib),serial dilution,nM,72 h,KG1a,FGFR1OP2-FGFR1 fusion,0.1% DMSO vehicle control,GI50,CellTiter-Glo ATP viability assay,relative to DMSO control,3,nM,SD 1 nM,minimum 3 independent experiments,directly tabulated,AML line.
P32315352_013,Table 1,INCB054828 (pemigatinib),serial dilution,nM,72 h,KATO III,FGFR2 amplification,0.1% DMSO vehicle control,GI50,CellTiter-Glo ATP viability assay,relative to DMSO control,3,nM,SD 1 nM,minimum 3 independent experiments,directly tabulated,Human gastric cancer line.
P32315352_014,Table 1,INCB054828 (pemigatinib),serial dilution,nM,72 h,AN3CA,FGFR2 N310R/N549K mutations,0.1% DMSO vehicle control,GI50,CellTiter-Glo ATP viability assay,relative to DMSO control,48,nM,SD 28 nM,minimum 3 independent experiments,directly tabulated,Human endometrial cancer line.
P32315352_015,Table 1,INCB054828 (pemigatinib),serial dilution,nM,72 h,RT-112,FGFR3-TACC3 fusion,0.1% DMSO vehicle control,GI50,CellTiter-Glo ATP viability assay,relative to DMSO control,7,nM,SD 3 nM,minimum 3 independent experiments,directly tabulated,Human bladder cancer line.
P32315352_016,Table 1,INCB054828 (pemigatinib),serial dilution,nM,72 h,RT-4,FGFR3-TACC3 fusion,0.1% DMSO vehicle control,GI50,CellTiter-Glo ATP viability assay,relative to DMSO control,12,nM,not reported,minimum 3 independent experiments,directly tabulated,Human bladder cancer line.
P32315352_017,Table 1,INCB054828 (pemigatinib),serial dilution,nM,72 h,KMS-11,IgH-FGFR3 translocation,0.1% DMSO vehicle control,GI50,CellTiter-Glo ATP viability assay,relative to DMSO control,362,nM,SD 282 nM,minimum 3 independent experiments,directly tabulated,Human myeloma line.
P32315352_018,Table 1,INCB054828 (pemigatinib),serial dilution,nM,72 h,OPM-2,IgH-FGFR3 translocation,0.1% DMSO vehicle control,GI50,CellTiter-Glo ATP viability assay,relative to DMSO control,18,nM,SD 9 nM,minimum 3 independent experiments,directly tabulated,Human myeloma line.
P32315352_019,Table 1,INCB054828 (pemigatinib),serial dilution,nM,72 h,Ba/F3-FGFR1-ZFN298,FGFR1 fusion; 8p11 myeloproliferative neoplasm,0.1% DMSO vehicle control,GI50,CellTiter-Glo ATP viability assay,relative to DMSO control,0.9,nM,SD 0.4 nM,minimum 3 independent experiments,directly tabulated,Engineered cell line.
P32315352_020,Table 1,INCB054828 (pemigatinib),serial dilution,nM,72 h,Ba/F3-FGFR2-CCDC6,FGFR2 fusion; cholangiocarcinoma,0.1% DMSO vehicle control,GI50,CellTiter-Glo ATP viability assay,relative to DMSO control,1.2,nM,SD 0.2 nM,minimum 3 independent experiments,directly tabulated,Engineered cell line.
P32315352_021,Table 1,INCB054828 (pemigatinib),serial dilution,nM,72 h,Ba/F3-FGFR2-AHCYL,FGFR2 fusion; cholangiocarcinoma,0.1% DMSO vehicle control,GI50,CellTiter-Glo ATP viability assay,relative to DMSO control,1.1,nM,SD 0.3 nM,minimum 3 independent experiments,directly tabulated,Engineered cell line.
