record_id,paper_key,context_key,condition_key,assay_key,observable,observable_raw_label,value,value_unit,time_value,time_unit,statistic,uncertainty_type,uncertainty_value,replicate_count,normalization,normalization_reference,source_key,figure,panel,table,lane,extraction_method,quality_class,is_censored,censoring_limit,notes
shao_fig1a_hle_0nm,paper_PMID31561409,hle_shao_in_vitro,hle_shao_in_vitro__vehicle_control_72_h,shao_mtt_doseresponse,pct_proliferation,"% proliferation, HLE, 0 nM dinaciclib, 72h",100.0,% proliferation,72,h,percent proliferation vs untreated control,visual digitization uncertainty (curve-position estimate),,,,,workbook,Figure 1,A,,,PLOT_DIGITIZED,SEMI_QUANTITATIVE,False,,Curve points estimated visually from the dose-response graph.
shao_fig1a_hle_100nm,paper_PMID31561409,hle_shao_in_vitro,hle_shao_in_vitro__dinaciclib_100_nm_72_h,shao_mtt_doseresponse,pct_proliferation,"% proliferation, HLE, 100 nM dinaciclib, 72h",14.0,% proliferation,72,h,percent proliferation vs untreated control,visual digitization uncertainty (curve-position estimate),,,,,workbook,Figure 1,A,,,PLOT_DIGITIZED,SEMI_QUANTITATIVE,False,,Curve points estimated visually from the dose-response graph.
shao_fig1a_hle_10nm,paper_PMID31561409,hle_shao_in_vitro,hle_shao_in_vitro__dinaciclib_10_nm_72_h,shao_mtt_doseresponse,pct_proliferation,"% proliferation, HLE, 10 nM dinaciclib, 72h",53.0,% proliferation,72,h,percent proliferation vs untreated control,visual digitization uncertainty (curve-position estimate),,,,,workbook,Figure 1,A,,,PLOT_DIGITIZED,SEMI_QUANTITATIVE,False,,Curve points estimated visually from the dose-response graph.
shao_fig1a_hle_15nm,paper_PMID31561409,hle_shao_in_vitro,hle_shao_in_vitro__dinaciclib_15_nm_72_h,shao_mtt_doseresponse,pct_proliferation,"% proliferation, HLE, 15 nM dinaciclib, 72h",33.0,% proliferation,72,h,percent proliferation vs untreated control,visual digitization uncertainty (curve-position estimate),,,,,workbook,Figure 1,A,,,PLOT_DIGITIZED,SEMI_QUANTITATIVE,False,,Curve points estimated visually from the dose-response graph.
shao_fig1a_hle_20nm,paper_PMID31561409,hle_shao_in_vitro,hle_shao_in_vitro__dinaciclib_20_nm_72_h,shao_mtt_doseresponse,pct_proliferation,"% proliferation, HLE, 20 nM dinaciclib, 72h",20.0,% proliferation,72,h,percent proliferation vs untreated control,visual digitization uncertainty (curve-position estimate),,,,,workbook,Figure 1,A,,,PLOT_DIGITIZED,SEMI_QUANTITATIVE,False,,Curve points estimated visually from the dose-response graph.
shao_fig1a_hle_25nm,paper_PMID31561409,hle_shao_in_vitro,hle_shao_in_vitro__dinaciclib_25_nm_72_h,shao_mtt_doseresponse,pct_proliferation,"% proliferation, HLE, 25 nM dinaciclib, 72h",18.0,% proliferation,72,h,percent proliferation vs untreated control,visual digitization uncertainty (curve-position estimate),,,,,workbook,Figure 1,A,,,PLOT_DIGITIZED,SEMI_QUANTITATIVE,False,,Curve points estimated visually from the dose-response graph.
shao_fig1a_hle_30nm,paper_PMID31561409,hle_shao_in_vitro,hle_shao_in_vitro__dinaciclib_30_nm_72_h,shao_mtt_doseresponse,pct_proliferation,"% proliferation, HLE, 30 nM dinaciclib, 72h",17.0,% proliferation,72,h,percent proliferation vs untreated control,visual digitization uncertainty (curve-position estimate),,,,,workbook,Figure 1,A,,,PLOT_DIGITIZED,SEMI_QUANTITATIVE,False,,Curve points estimated visually from the dose-response graph.
shao_fig1a_hle_50nm,paper_PMID31561409,hle_shao_in_vitro,hle_shao_in_vitro__dinaciclib_50_nm_72_h,shao_mtt_doseresponse,pct_proliferation,"% proliferation, HLE, 50 nM dinaciclib, 72h",17.0,% proliferation,72,h,percent proliferation vs untreated control,visual digitization uncertainty (curve-position estimate),,,,,workbook,Figure 1,A,,,PLOT_DIGITIZED,SEMI_QUANTITATIVE,False,,Curve points estimated visually from the dose-response graph.
shao_fig1a_hle_5nm,paper_PMID31561409,hle_shao_in_vitro,hle_shao_in_vitro__dinaciclib_5_nm_72_h,shao_mtt_doseresponse,pct_proliferation,"% proliferation, HLE, 5 nM dinaciclib, 72h",75.0,% proliferation,72,h,percent proliferation vs untreated control,visual digitization uncertainty (curve-position estimate),,,,,workbook,Figure 1,A,,,PLOT_DIGITIZED,SEMI_QUANTITATIVE,False,,Curve points estimated visually from the dose-response graph.
shao_fig1a_hle_ic50,paper_PMID31561409,hle_shao_in_vitro,hle_shao_in_vitro__vehicle_control_72_h_ic50_determining_dose_response,shao_mtt_doseresponse,viability_IC50,"Dinaciclib IC50, HLE, 72h MTT",9.7,nM,72,h,IC50,,,,,,workbook,Figure 1,A,,,DIRECT_SOURCE,QUANTITATIVE,False,,Explicit IC50 stated directly on the figure panel (preferred over back-calculation). Independent of baseline Rb/p-Rb/c-myc expression level (see Fig1B) -- a clean negative-covariate finding.
shao_fig1a_huh7_0nm,paper_PMID31561409,huh7_shao_in_vitro,huh7_shao_in_vitro__vehicle_control_72_h,shao_mtt_doseresponse,pct_proliferation,"% proliferation, HuH7, 0 nM dinaciclib, 72h",100.0,% proliferation,72,h,percent proliferation vs untreated control,visual digitization uncertainty (curve-position estimate),,,,,workbook,Figure 1,A,,,PLOT_DIGITIZED,SEMI_QUANTITATIVE,False,,Curve points estimated visually from the dose-response graph.
shao_fig1a_huh7_100nm,paper_PMID31561409,huh7_shao_in_vitro,huh7_shao_in_vitro__dinaciclib_100_nm_72_h,shao_mtt_doseresponse,pct_proliferation,"% proliferation, HuH7, 100 nM dinaciclib, 72h",22.0,% proliferation,72,h,percent proliferation vs untreated control,visual digitization uncertainty (curve-position estimate),,,,,workbook,Figure 1,A,,,PLOT_DIGITIZED,SEMI_QUANTITATIVE,False,,Curve points estimated visually from the dose-response graph.
shao_fig1a_huh7_10nm,paper_PMID31561409,huh7_shao_in_vitro,huh7_shao_in_vitro__dinaciclib_10_nm_72_h,shao_mtt_doseresponse,pct_proliferation,"% proliferation, HuH7, 10 nM dinaciclib, 72h",38.0,% proliferation,72,h,percent proliferation vs untreated control,visual digitization uncertainty (curve-position estimate),,,,,workbook,Figure 1,A,,,PLOT_DIGITIZED,SEMI_QUANTITATIVE,False,,Curve points estimated visually from the dose-response graph.
shao_fig1a_huh7_15nm,paper_PMID31561409,huh7_shao_in_vitro,huh7_shao_in_vitro__dinaciclib_15_nm_72_h,shao_mtt_doseresponse,pct_proliferation,"% proliferation, HuH7, 15 nM dinaciclib, 72h",24.0,% proliferation,72,h,percent proliferation vs untreated control,visual digitization uncertainty (curve-position estimate),,,,,workbook,Figure 1,A,,,PLOT_DIGITIZED,SEMI_QUANTITATIVE,False,,Curve points estimated visually from the dose-response graph.
shao_fig1a_huh7_20nm,paper_PMID31561409,huh7_shao_in_vitro,huh7_shao_in_vitro__dinaciclib_20_nm_72_h,shao_mtt_doseresponse,pct_proliferation,"% proliferation, HuH7, 20 nM dinaciclib, 72h",24.0,% proliferation,72,h,percent proliferation vs untreated control,visual digitization uncertainty (curve-position estimate),,,,,workbook,Figure 1,A,,,PLOT_DIGITIZED,SEMI_QUANTITATIVE,False,,Curve points estimated visually from the dose-response graph.
shao_fig1a_huh7_25nm,paper_PMID31561409,huh7_shao_in_vitro,huh7_shao_in_vitro__dinaciclib_25_nm_72_h,shao_mtt_doseresponse,pct_proliferation,"% proliferation, HuH7, 25 nM dinaciclib, 72h",24.0,% proliferation,72,h,percent proliferation vs untreated control,visual digitization uncertainty (curve-position estimate),,,,,workbook,Figure 1,A,,,PLOT_DIGITIZED,SEMI_QUANTITATIVE,False,,Curve points estimated visually from the dose-response graph.
shao_fig1a_huh7_30nm,paper_PMID31561409,huh7_shao_in_vitro,huh7_shao_in_vitro__dinaciclib_30_nm_72_h,shao_mtt_doseresponse,pct_proliferation,"% proliferation, HuH7, 30 nM dinaciclib, 72h",23.0,% proliferation,72,h,percent proliferation vs untreated control,visual digitization uncertainty (curve-position estimate),,,,,workbook,Figure 1,A,,,PLOT_DIGITIZED,SEMI_QUANTITATIVE,False,,Curve points estimated visually from the dose-response graph.
shao_fig1a_huh7_50nm,paper_PMID31561409,huh7_shao_in_vitro,huh7_shao_in_vitro__dinaciclib_50_nm_72_h,shao_mtt_doseresponse,pct_proliferation,"% proliferation, HuH7, 50 nM dinaciclib, 72h",22.0,% proliferation,72,h,percent proliferation vs untreated control,visual digitization uncertainty (curve-position estimate),,,,,workbook,Figure 1,A,,,PLOT_DIGITIZED,SEMI_QUANTITATIVE,False,,Curve points estimated visually from the dose-response graph.
shao_fig1a_huh7_5nm,paper_PMID31561409,huh7_shao_in_vitro,huh7_shao_in_vitro__dinaciclib_5_nm_72_h,shao_mtt_doseresponse,pct_proliferation,"% proliferation, HuH7, 5 nM dinaciclib, 72h",72.0,% proliferation,72,h,percent proliferation vs untreated control,visual digitization uncertainty (curve-position estimate),,,,,workbook,Figure 1,A,,,PLOT_DIGITIZED,SEMI_QUANTITATIVE,False,,Curve points estimated visually from the dose-response graph.
shao_fig1a_huh7_ic50,paper_PMID31561409,huh7_shao_in_vitro,huh7_shao_in_vitro__vehicle_control_72_h_ic50_determining_dose_response,shao_mtt_doseresponse,viability_IC50,"Dinaciclib IC50, HuH7, 72h MTT",8.5,nM,72,h,IC50,,,,,,workbook,Figure 1,A,,,DIRECT_SOURCE,QUANTITATIVE,False,,Explicit IC50 stated directly on the figure panel (preferred over back-calculation). Independent of baseline Rb/p-Rb/c-myc expression level (see Fig1B) -- a clean negative-covariate finding.
shao_fig1a_plc5_0nm,paper_PMID31561409,plc5_shao_in_vitro,plc5_shao_in_vitro__vehicle_control_72_h,shao_mtt_doseresponse,pct_proliferation,"% proliferation, PLC5, 0 nM dinaciclib, 72h",100.0,% proliferation,72,h,percent proliferation vs untreated control,visual digitization uncertainty (curve-position estimate),,,,,workbook,Figure 1,A,,,PLOT_DIGITIZED,SEMI_QUANTITATIVE,False,,Curve points estimated visually from the dose-response graph.
shao_fig1a_plc5_100nm,paper_PMID31561409,plc5_shao_in_vitro,plc5_shao_in_vitro__dinaciclib_100_nm_72_h,shao_mtt_doseresponse,pct_proliferation,"% proliferation, PLC5, 100 nM dinaciclib, 72h",15.0,% proliferation,72,h,percent proliferation vs untreated control,visual digitization uncertainty (curve-position estimate),,,,,workbook,Figure 1,A,,,PLOT_DIGITIZED,SEMI_QUANTITATIVE,False,,Curve points estimated visually from the dose-response graph.
shao_fig1a_plc5_10nm,paper_PMID31561409,plc5_shao_in_vitro,plc5_shao_in_vitro__dinaciclib_10_nm_72_h,shao_mtt_doseresponse,pct_proliferation,"% proliferation, PLC5, 10 nM dinaciclib, 72h",60.0,% proliferation,72,h,percent proliferation vs untreated control,visual digitization uncertainty (curve-position estimate),,,,,workbook,Figure 1,A,,,PLOT_DIGITIZED,SEMI_QUANTITATIVE,False,,Curve points estimated visually from the dose-response graph.
shao_fig1a_plc5_15nm,paper_PMID31561409,plc5_shao_in_vitro,plc5_shao_in_vitro__dinaciclib_15_nm_72_h,shao_mtt_doseresponse,pct_proliferation,"% proliferation, PLC5, 15 nM dinaciclib, 72h",32.0,% proliferation,72,h,percent proliferation vs untreated control,visual digitization uncertainty (curve-position estimate),,,,,workbook,Figure 1,A,,,PLOT_DIGITIZED,SEMI_QUANTITATIVE,False,,Curve points estimated visually from the dose-response graph.
shao_fig1a_plc5_20nm,paper_PMID31561409,plc5_shao_in_vitro,plc5_shao_in_vitro__dinaciclib_20_nm_72_h,shao_mtt_doseresponse,pct_proliferation,"% proliferation, PLC5, 20 nM dinaciclib, 72h",22.0,% proliferation,72,h,percent proliferation vs untreated control,visual digitization uncertainty (curve-position estimate),,,,,workbook,Figure 1,A,,,PLOT_DIGITIZED,SEMI_QUANTITATIVE,False,,Curve points estimated visually from the dose-response graph.
shao_fig1a_plc5_25nm,paper_PMID31561409,plc5_shao_in_vitro,plc5_shao_in_vitro__dinaciclib_25_nm_72_h,shao_mtt_doseresponse,pct_proliferation,"% proliferation, PLC5, 25 nM dinaciclib, 72h",20.0,% proliferation,72,h,percent proliferation vs untreated control,visual digitization uncertainty (curve-position estimate),,,,,workbook,Figure 1,A,,,PLOT_DIGITIZED,SEMI_QUANTITATIVE,False,,Curve points estimated visually from the dose-response graph.
shao_fig1a_plc5_30nm,paper_PMID31561409,plc5_shao_in_vitro,plc5_shao_in_vitro__dinaciclib_30_nm_72_h,shao_mtt_doseresponse,pct_proliferation,"% proliferation, PLC5, 30 nM dinaciclib, 72h",18.0,% proliferation,72,h,percent proliferation vs untreated control,visual digitization uncertainty (curve-position estimate),,,,,workbook,Figure 1,A,,,PLOT_DIGITIZED,SEMI_QUANTITATIVE,False,,Curve points estimated visually from the dose-response graph.
shao_fig1a_plc5_50nm,paper_PMID31561409,plc5_shao_in_vitro,plc5_shao_in_vitro__dinaciclib_50_nm_72_h,shao_mtt_doseresponse,pct_proliferation,"% proliferation, PLC5, 50 nM dinaciclib, 72h",17.0,% proliferation,72,h,percent proliferation vs untreated control,visual digitization uncertainty (curve-position estimate),,,,,workbook,Figure 1,A,,,PLOT_DIGITIZED,SEMI_QUANTITATIVE,False,,Curve points estimated visually from the dose-response graph.
shao_fig1a_plc5_5nm,paper_PMID31561409,plc5_shao_in_vitro,plc5_shao_in_vitro__dinaciclib_5_nm_72_h,shao_mtt_doseresponse,pct_proliferation,"% proliferation, PLC5, 5 nM dinaciclib, 72h",88.0,% proliferation,72,h,percent proliferation vs untreated control,visual digitization uncertainty (curve-position estimate),,,,,workbook,Figure 1,A,,,PLOT_DIGITIZED,SEMI_QUANTITATIVE,False,,Curve points estimated visually from the dose-response graph.
shao_fig1a_plc5_ic50,paper_PMID31561409,plc5_shao_in_vitro,plc5_shao_in_vitro__vehicle_control_72_h_ic50_determining_dose_response,shao_mtt_doseresponse,viability_IC50,"Dinaciclib IC50, PLC5, 72h MTT",11.8,nM,72,h,IC50,,,,,,workbook,Figure 1,A,,,DIRECT_SOURCE,QUANTITATIVE,False,,Explicit IC50 stated directly on the figure panel (preferred over back-calculation). Independent of baseline Rb/p-Rb/c-myc expression level (see Fig1B) -- a clean negative-covariate finding.
shao_fig1b_c_myc_hep3b,paper_PMID31561409,hep3b_shao_in_vitro,hep3b_shao_in_vitro__baseline_no_treatment,shao_wb_baseline,baseline_c_myc,"c-myc, Hep3B (baseline, GAPDH-normalized)",0.53,relative densitometry (GAPDH-normalized),,,densitometry ratio,,,,,,workbook,Figure 1,B,,,DIRECT_SOURCE,QUANTITATIVE,False,,Explicit densitometry printed directly above each lane; no treatment/dose series -- baseline comparison across cell lines.
shao_fig1b_c_myc_hle,paper_PMID31561409,hle_shao_in_vitro,hle_shao_in_vitro__baseline_no_treatment,shao_wb_baseline,baseline_c_myc,"c-myc, HLE (baseline, GAPDH-normalized)",0.26,relative densitometry (GAPDH-normalized),,,densitometry ratio,,,,,,workbook,Figure 1,B,,,DIRECT_SOURCE,QUANTITATIVE,False,,Explicit densitometry printed directly above each lane; no treatment/dose series -- baseline comparison across cell lines.
shao_fig1b_c_myc_huh7,paper_PMID31561409,huh7_shao_in_vitro,huh7_shao_in_vitro__baseline_no_treatment,shao_wb_baseline,baseline_c_myc,"c-myc, HuH7 (baseline, GAPDH-normalized)",0.57,relative densitometry (GAPDH-normalized),,,densitometry ratio,,,,,,workbook,Figure 1,B,,,DIRECT_SOURCE,QUANTITATIVE,False,,Explicit densitometry printed directly above each lane; no treatment/dose series -- baseline comparison across cell lines.
shao_fig1b_c_myc_plc5,paper_PMID31561409,plc5_shao_in_vitro,plc5_shao_in_vitro__baseline_no_treatment,shao_wb_baseline,baseline_c_myc,"c-myc, PLC5 (baseline, GAPDH-normalized)",0.19,relative densitometry (GAPDH-normalized),,,densitometry ratio,,,,,,workbook,Figure 1,B,,,DIRECT_SOURCE,QUANTITATIVE,False,,Explicit densitometry printed directly above each lane; no treatment/dose series -- baseline comparison across cell lines.
shao_fig1b_p_rb_s807_811_hep3b,paper_PMID31561409,hep3b_shao_in_vitro,hep3b_shao_in_vitro__baseline_no_treatment,shao_wb_baseline,baseline_p_rb_s807_811,"p-Rb (S807/811), Hep3B (baseline, GAPDH-normalized)",0.16,relative densitometry (GAPDH-normalized),,,densitometry ratio,,,,,,workbook,Figure 1,B,,,DIRECT_SOURCE,QUANTITATIVE,False,,Explicit densitometry printed directly above each lane; no treatment/dose series -- baseline comparison across cell lines.
shao_fig1b_p_rb_s807_811_hle,paper_PMID31561409,hle_shao_in_vitro,hle_shao_in_vitro__baseline_no_treatment,shao_wb_baseline,baseline_p_rb_s807_811,"p-Rb (S807/811), HLE (baseline, GAPDH-normalized)",0.16,relative densitometry (GAPDH-normalized),,,densitometry ratio,,,,,,workbook,Figure 1,B,,,DIRECT_SOURCE,QUANTITATIVE,False,,Explicit densitometry printed directly above each lane; no treatment/dose series -- baseline comparison across cell lines.
shao_fig1b_p_rb_s807_811_huh7,paper_PMID31561409,huh7_shao_in_vitro,huh7_shao_in_vitro__baseline_no_treatment,shao_wb_baseline,baseline_p_rb_s807_811,"p-Rb (S807/811), HuH7 (baseline, GAPDH-normalized)",1.51,relative densitometry (GAPDH-normalized),,,densitometry ratio,,,,,,workbook,Figure 1,B,,,DIRECT_SOURCE,QUANTITATIVE,False,,Explicit densitometry printed directly above each lane; no treatment/dose series -- baseline comparison across cell lines.
shao_fig1b_p_rb_s807_811_plc5,paper_PMID31561409,plc5_shao_in_vitro,plc5_shao_in_vitro__baseline_no_treatment,shao_wb_baseline,baseline_p_rb_s807_811,"p-Rb (S807/811), PLC5 (baseline, GAPDH-normalized)",0.35,relative densitometry (GAPDH-normalized),,,densitometry ratio,,,,,,workbook,Figure 1,B,,,DIRECT_SOURCE,QUANTITATIVE,False,,Explicit densitometry printed directly above each lane; no treatment/dose series -- baseline comparison across cell lines.
shao_fig1b_rb_total_hep3b,paper_PMID31561409,hep3b_shao_in_vitro,hep3b_shao_in_vitro__baseline_no_treatment,shao_wb_baseline,baseline_rb_total,"Rb (total), Hep3B (baseline, GAPDH-normalized)",0.53,relative densitometry (GAPDH-normalized),,,densitometry ratio,,,,,,workbook,Figure 1,B,,,DIRECT_SOURCE,QUANTITATIVE,False,,Explicit densitometry printed directly above each lane; no treatment/dose series -- baseline comparison across cell lines.
shao_fig1b_rb_total_hle,paper_PMID31561409,hle_shao_in_vitro,hle_shao_in_vitro__baseline_no_treatment,shao_wb_baseline,baseline_rb_total,"Rb (total), HLE (baseline, GAPDH-normalized)",0.57,relative densitometry (GAPDH-normalized),,,densitometry ratio,,,,,,workbook,Figure 1,B,,,DIRECT_SOURCE,QUANTITATIVE,False,,Explicit densitometry printed directly above each lane; no treatment/dose series -- baseline comparison across cell lines.
shao_fig1b_rb_total_huh7,paper_PMID31561409,huh7_shao_in_vitro,huh7_shao_in_vitro__baseline_no_treatment,shao_wb_baseline,baseline_rb_total,"Rb (total), HuH7 (baseline, GAPDH-normalized)",1.17,relative densitometry (GAPDH-normalized),,,densitometry ratio,,,,,,workbook,Figure 1,B,,,DIRECT_SOURCE,QUANTITATIVE,False,,Explicit densitometry printed directly above each lane; no treatment/dose series -- baseline comparison across cell lines.
shao_fig1b_rb_total_plc5,paper_PMID31561409,plc5_shao_in_vitro,plc5_shao_in_vitro__baseline_no_treatment,shao_wb_baseline,baseline_rb_total,"Rb (total), PLC5 (baseline, GAPDH-normalized)",0.66,relative densitometry (GAPDH-normalized),,,densitometry ratio,,,,,,workbook,Figure 1,B,,,DIRECT_SOURCE,QUANTITATIVE,False,,Explicit densitometry printed directly above each lane; no treatment/dose series -- baseline comparison across cell lines.
shao_fig1cd_huh7_0nm,paper_PMID31561409,huh7_shao_in_vitro,huh7_shao_in_vitro__vehicle_control_10_14_d_colony_formation,shao_colony_formation,colony_formation_relative,"Relative colony formation, HuH7, 0 nM dinaciclib",1.0,relative colonies (0 nM = 1.0),,,relative colony count vs 0 nM,visual digitization uncertainty (bar-height estimate),,,,,workbook,Figure 1,C-D,,,PLOT_DIGITIZED,SEMI_QUANTITATIVE,False,,"Distinct observable from viability_IC50 (Fig1A MTT, acute cytostasis) -- clonogenic/reproductive-death readout. PLC5 is MORE sensitive at 5 nM (0.62 relative colonies) than HuH7 (0.09), an inversion of the MTT IC50 ranking (HuH7 more sensitive by MTT: 8.5 vs 11.8 nM) -- do not treat these two potency measures as interchangeable."
shao_fig1cd_huh7_10nm,paper_PMID31561409,huh7_shao_in_vitro,huh7_shao_in_vitro__dinaciclib_10_nm_10_14_d_colony_formation,shao_colony_formation,colony_formation_relative,"Relative colony formation, HuH7, 10 nM dinaciclib",0.02,relative colonies (0 nM = 1.0),,,relative colony count vs 0 nM,visual digitization uncertainty (bar-height estimate),,,,,workbook,Figure 1,C-D,,,PLOT_DIGITIZED,SEMI_QUANTITATIVE,False,,"Distinct observable from viability_IC50 (Fig1A MTT, acute cytostasis) -- clonogenic/reproductive-death readout. PLC5 is MORE sensitive at 5 nM (0.62 relative colonies) than HuH7 (0.09), an inversion of the MTT IC50 ranking (HuH7 more sensitive by MTT: 8.5 vs 11.8 nM) -- do not treat these two potency measures as interchangeable."
shao_fig1cd_huh7_5nm,paper_PMID31561409,huh7_shao_in_vitro,huh7_shao_in_vitro__dinaciclib_5_nm_10_14_d_colony_formation,shao_colony_formation,colony_formation_relative,"Relative colony formation, HuH7, 5 nM dinaciclib",0.08,relative colonies (0 nM = 1.0),,,relative colony count vs 0 nM,visual digitization uncertainty (bar-height estimate),,,,,workbook,Figure 1,C-D,,,PLOT_DIGITIZED,SEMI_QUANTITATIVE,False,,"Distinct observable from viability_IC50 (Fig1A MTT, acute cytostasis) -- clonogenic/reproductive-death readout. PLC5 is MORE sensitive at 5 nM (0.62 relative colonies) than HuH7 (0.09), an inversion of the MTT IC50 ranking (HuH7 more sensitive by MTT: 8.5 vs 11.8 nM) -- do not treat these two potency measures as interchangeable."
shao_fig1cd_plc5_0nm,paper_PMID31561409,plc5_shao_in_vitro,plc5_shao_in_vitro__vehicle_control_10_14_d_colony_formation,shao_colony_formation,colony_formation_relative,"Relative colony formation, PLC5, 0 nM dinaciclib",1.0,relative colonies (0 nM = 1.0),,,relative colony count vs 0 nM,visual digitization uncertainty (bar-height estimate),,,,,workbook,Figure 1,C-D,,,PLOT_DIGITIZED,SEMI_QUANTITATIVE,False,,"Distinct observable from viability_IC50 (Fig1A MTT, acute cytostasis) -- clonogenic/reproductive-death readout. PLC5 is MORE sensitive at 5 nM (0.62 relative colonies) than HuH7 (0.09), an inversion of the MTT IC50 ranking (HuH7 more sensitive by MTT: 8.5 vs 11.8 nM) -- do not treat these two potency measures as interchangeable."
