condition_key,context_key,condition_label,notes
hepg2_xu_in_vitro__hepg2_dinaciclib_50_nm_12h,hepg2_xu_in_vitro,"HepG2 Dinaciclib 50 nM, 12h",
hepg2_xu_in_vitro__hepg2_dinaciclib_50_nm_24h,hepg2_xu_in_vitro,"HepG2 Dinaciclib 50 nM, 24h",
hepg2_xu_in_vitro__hepg2_dinaciclib_50_nm_6h,hepg2_xu_in_vitro,"HepG2 Dinaciclib 50 nM, 6h",
hle_shao_in_vitro__baseline_no_treatment,hle_shao_in_vitro,Baseline (no treatment),
hle_shao_in_vitro__dinaciclib_100_nm_72_h,hle_shao_in_vitro,"Dinaciclib 100 nM, 72 h",
hle_shao_in_vitro__dinaciclib_10_nm_72_h,hle_shao_in_vitro,"Dinaciclib 10 nM, 72 h",
hle_shao_in_vitro__dinaciclib_15_nm_72_h,hle_shao_in_vitro,"Dinaciclib 15 nM, 72 h",
hle_shao_in_vitro__dinaciclib_20_nm_72_h,hle_shao_in_vitro,"Dinaciclib 20 nM, 72 h",
hle_shao_in_vitro__dinaciclib_25_nm_72_h,hle_shao_in_vitro,"Dinaciclib 25 nM, 72 h",
hle_shao_in_vitro__dinaciclib_30_nm_72_h,hle_shao_in_vitro,"Dinaciclib 30 nM, 72 h",
hle_shao_in_vitro__dinaciclib_50_nm_72_h,hle_shao_in_vitro,"Dinaciclib 50 nM, 72 h",
hle_shao_in_vitro__dinaciclib_5_nm_72_h,hle_shao_in_vitro,"Dinaciclib 5 nM, 72 h",
hle_shao_in_vitro__vehicle_control_72_h,hle_shao_in_vitro,"Vehicle control, 72 h",
hle_shao_in_vitro__vehicle_control_72_h_ic50_determining_dose_response,hle_shao_in_vitro,"Vehicle control, 72 h (IC50-determining dose-response)",
huh7_ccne1_plasmid_xu__ccne1_plasmid_24h_growth_assay,huh7_ccne1_plasmid_xu,"CCNE1-plasmid, 24h growth assay",
huh7_ccne1_plasmid_xu__ccne1_plasmid_regorafenib_8_um,huh7_ccne1_plasmid_xu,CCNE1-plasmid + Regorafenib 8 uM,
huh7_ccne1_plasmid_xu__ccne1_plasmid_sorafenib_5_um,huh7_ccne1_plasmid_xu,CCNE1-plasmid + Sorafenib 5 uM,
huh7_control_plasmid_xu__control_plasmid_24h_growth_assay,huh7_control_plasmid_xu,"Control-plasmid, 24h growth assay",
huh7_control_plasmid_xu__control_plasmid_dinaciclib_50_nm_regorafenib_8_um,huh7_control_plasmid_xu,Control-plasmid + dinaciclib 50 nM + regorafenib 8 uM,
huh7_control_plasmid_xu__control_plasmid_flavopiridol_100_nm,huh7_control_plasmid_xu,Control-plasmid + flavopiridol 100 nM,
huh7_control_plasmid_xu__control_plasmid_mcl_1_promoter_luciferase_reporter,huh7_control_plasmid_xu,"Control-plasmid, Mcl-1-promoter luciferase reporter",
huh7_control_plasmid_xu__control_plasmid_regorafenib_8_um,huh7_control_plasmid_xu,Control-plasmid + Regorafenib 8 uM,
huh7_control_plasmid_xu__control_plasmid_sorafenib_5_um,huh7_control_plasmid_xu,Control-plasmid + Sorafenib 5 uM,
huh7_mcl1_oe_xu__mcl_1_overexpression_dinaciclib_50_nm_regorafenib_8_um,huh7_mcl1_oe_xu,Mcl-1-overexpression + dinaciclib 50 nM + regorafenib 8 uM,
huh7_shao_in_vitro__baseline_no_treatment,huh7_shao_in_vitro,Baseline (no treatment),
huh7_shao_in_vitro__dinaciclib_100_nm_72_h,huh7_shao_in_vitro,"Dinaciclib 100 nM, 72 h",
huh7_shao_in_vitro__dinaciclib_10_nm_10_14_d_colony_formation,huh7_shao_in_vitro,"Dinaciclib 10 nM, 10-14 d colony formation",
huh7_shao_in_vitro__dinaciclib_10_nm_48_h_cell_cycle,huh7_shao_in_vitro,"Dinaciclib 10 nM, 48 h (cell cycle)",
huh7_shao_in_vitro__dinaciclib_10_nm_48_h_survival_signaling,huh7_shao_in_vitro,"Dinaciclib 10 nM, 48 h (survival signaling)",
huh7_shao_in_vitro__dinaciclib_10_nm_48_h_target_engagement,huh7_shao_in_vitro,"Dinaciclib 10 nM, 48 h (target engagement)",
huh7_shao_in_vitro__dinaciclib_10_nm_72_h,huh7_shao_in_vitro,"Dinaciclib 10 nM, 72 h",
huh7_shao_in_vitro__dinaciclib_10_nm_72_h_survival_signaling,huh7_shao_in_vitro,"Dinaciclib 10 nM, 72 h (survival signaling)",
huh7_shao_in_vitro__dinaciclib_10_nm_72_h_target_engagement,huh7_shao_in_vitro,"Dinaciclib 10 nM, 72 h (target engagement)",
huh7_shao_in_vitro__dinaciclib_15_nm_48_h_cell_cycle,huh7_shao_in_vitro,"Dinaciclib 15 nM, 48 h (cell cycle)",
huh7_shao_in_vitro__dinaciclib_15_nm_48_h_survival_signaling,huh7_shao_in_vitro,"Dinaciclib 15 nM, 48 h (survival signaling)",
huh7_shao_in_vitro__dinaciclib_15_nm_48_h_target_engagement,huh7_shao_in_vitro,"Dinaciclib 15 nM, 48 h (target engagement)",
huh7_shao_in_vitro__dinaciclib_15_nm_72_h,huh7_shao_in_vitro,"Dinaciclib 15 nM, 72 h",
huh7_shao_in_vitro__dinaciclib_15_nm_72_h_survival_signaling,huh7_shao_in_vitro,"Dinaciclib 15 nM, 72 h (survival signaling)",
huh7_shao_in_vitro__dinaciclib_15_nm_72_h_target_engagement,huh7_shao_in_vitro,"Dinaciclib 15 nM, 72 h (target engagement)",
huh7_shao_in_vitro__dinaciclib_20_nm_72_h,huh7_shao_in_vitro,"Dinaciclib 20 nM, 72 h",
huh7_shao_in_vitro__dinaciclib_25_nm_72_h,huh7_shao_in_vitro,"Dinaciclib 25 nM, 72 h",
huh7_shao_in_vitro__dinaciclib_30_nm_72_h,huh7_shao_in_vitro,"Dinaciclib 30 nM, 72 h",
huh7_shao_in_vitro__dinaciclib_50_nm_72_h,huh7_shao_in_vitro,"Dinaciclib 50 nM, 72 h",
huh7_shao_in_vitro__dinaciclib_5_nm_10_14_d_colony_formation,huh7_shao_in_vitro,"Dinaciclib 5 nM, 10-14 d colony formation",
huh7_shao_in_vitro__dinaciclib_5_nm_48_h_cell_cycle,huh7_shao_in_vitro,"Dinaciclib 5 nM, 48 h (cell cycle)",
huh7_shao_in_vitro__dinaciclib_5_nm_48_h_survival_signaling,huh7_shao_in_vitro,"Dinaciclib 5 nM, 48 h (survival signaling)",
huh7_shao_in_vitro__dinaciclib_5_nm_48_h_target_engagement,huh7_shao_in_vitro,"Dinaciclib 5 nM, 48 h (target engagement)",
huh7_shao_in_vitro__dinaciclib_5_nm_72_h,huh7_shao_in_vitro,"Dinaciclib 5 nM, 72 h",
huh7_shao_in_vitro__dinaciclib_5_nm_72_h_survival_signaling,huh7_shao_in_vitro,"Dinaciclib 5 nM, 72 h (survival signaling)",
huh7_shao_in_vitro__dinaciclib_5_nm_72_h_target_engagement,huh7_shao_in_vitro,"Dinaciclib 5 nM, 72 h (target engagement)",
huh7_shao_in_vitro__vehicle_control_10_14_d_colony_formation,huh7_shao_in_vitro,"Vehicle control, 10-14 d colony formation",
huh7_shao_in_vitro__vehicle_control_48_h_cell_cycle,huh7_shao_in_vitro,"Vehicle control, 48 h (cell cycle)",
huh7_shao_in_vitro__vehicle_control_48_h_survival_signaling,huh7_shao_in_vitro,"Vehicle control, 48 h (survival signaling)",
huh7_shao_in_vitro__vehicle_control_48_h_target_engagement,huh7_shao_in_vitro,"Vehicle control, 48 h (target engagement)",
huh7_shao_in_vitro__vehicle_control_72_h,huh7_shao_in_vitro,"Vehicle control, 72 h",
huh7_shao_in_vitro__vehicle_control_72_h_ic50_determining_dose_response,huh7_shao_in_vitro,"Vehicle control, 72 h (IC50-determining dose-response)",
huh7_shao_in_vitro__vehicle_control_72_h_survival_signaling,huh7_shao_in_vitro,"Vehicle control, 72 h (survival signaling)",
huh7_shao_in_vitro__vehicle_control_72_h_target_engagement,huh7_shao_in_vitro,"Vehicle control, 72 h (target engagement)",
huh7_shao_sirna_hcc__cdk1_overexpression_dinaciclib_2_5_nm_colony_formation_rescue,huh7_shao_sirna_hcc,"CDK1-overexpression, dinaciclib 2.5 nM (colony formation rescue)",
huh7_shao_sirna_hcc__cdk9_overexpression_dinaciclib_2_5_nm_colony_formation_rescue,huh7_shao_sirna_hcc,"CDK9-overexpression, dinaciclib 2.5 nM (colony formation rescue)",
huh7_shao_sirna_hcc__sicdk1,huh7_shao_sirna_hcc,siCDK1,
huh7_shao_sirna_hcc__sicdk1_2_5_9,huh7_shao_sirna_hcc,siCDK1+2+5+9,
huh7_shao_sirna_hcc__sicdk2,huh7_shao_sirna_hcc,siCDK2,
huh7_shao_sirna_hcc__sicdk5,huh7_shao_sirna_hcc,siCDK5,
huh7_shao_sirna_hcc__sicdk9,huh7_shao_sirna_hcc,siCDK9,
huh7_shao_sirna_hcc__sint,huh7_shao_sirna_hcc,siNT,
huh7_shao_sirna_hcc__vector_dinaciclib_2_5_nm_colony_formation_rescue,huh7_shao_sirna_hcc,"Vector, dinaciclib 2.5 nM (colony formation rescue)",
huh7_shao_xenograft__dinaciclib_20_mg_kg,huh7_shao_xenograft,Dinaciclib 20 mg/kg,
huh7_shao_xenograft__dinaciclib_20_mg_kg_tunel,huh7_shao_xenograft,Dinaciclib 20 mg/kg (TUNEL),
huh7_shao_xenograft__dinaciclib_40_mg_kg,huh7_shao_xenograft,Dinaciclib 40 mg/kg,
huh7_shao_xenograft__dinaciclib_40_mg_kg_tunel,huh7_shao_xenograft,Dinaciclib 40 mg/kg (TUNEL),
huh7_shao_xenograft__vehicle,huh7_shao_xenograft,Vehicle,
huh7_shao_xenograft__vehicle_tunel,huh7_shao_xenograft,Vehicle (TUNEL),
huh7_stat3_oe_xu__stat3_overexpression_flavopiridol_100_nm,huh7_stat3_oe_xu,STAT3-overexpression + flavopiridol 100 nM,
huh7_stat3_oe_xu__stat3_overexpression_mcl_1_promoter_luciferase_reporter,huh7_stat3_oe_xu,"STAT3-overexpression, Mcl-1-promoter luciferase reporter",
huh7_xu_in_vitro__huh7_control_0h,huh7_xu_in_vitro,"Huh7 Control, 0h",
huh7_xu_in_vitro__huh7_control_12h,huh7_xu_in_vitro,"Huh7 Control, 12h",
huh7_xu_in_vitro__huh7_control_24h,huh7_xu_in_vitro,"Huh7 Control, 24h",
huh7_xu_in_vitro__huh7_control_6h,huh7_xu_in_vitro,"Huh7 Control, 6h",
huh7_xu_in_vitro__huh7_dinaciclib_50_nm_0h,huh7_xu_in_vitro,"Huh7 Dinaciclib 50 nM, 0h",
huh7_xu_in_vitro__huh7_dinaciclib_50_nm_12h,huh7_xu_in_vitro,"Huh7 Dinaciclib 50 nM, 12h",
huh7_xu_in_vitro__huh7_dinaciclib_50_nm_24h,huh7_xu_in_vitro,"Huh7 Dinaciclib 50 nM, 24h",
huh7_xu_in_vitro__huh7_dinaciclib_50_nm_6h,huh7_xu_in_vitro,"Huh7 Dinaciclib 50 nM, 6h",
huh7_xu_xenograft__control,huh7_xu_xenograft,Control,
huh7_xu_xenograft__dinaciclib_30_mg_kg,huh7_xu_xenograft,Dinaciclib 30 mg/kg,
huh7_xu_xenograft__dinaciclib_30_mg_kg_regorafenib_20_mg_kg,huh7_xu_xenograft,Dinaciclib 30 mg/kg + Regorafenib 20 mg/kg,
huh7_xu_xenograft__regorafenib_20_mg_kg,huh7_xu_xenograft,Regorafenib 20 mg/kg,
plc5_shao_in_vitro__baseline_no_treatment,plc5_shao_in_vitro,Baseline (no treatment),
plc5_shao_in_vitro__dinaciclib_100_nm_72_h,plc5_shao_in_vitro,"Dinaciclib 100 nM, 72 h",
plc5_shao_in_vitro__dinaciclib_10_nm_10_14_d_colony_formation,plc5_shao_in_vitro,"Dinaciclib 10 nM, 10-14 d colony formation",
plc5_shao_in_vitro__dinaciclib_10_nm_48_h_cell_cycle,plc5_shao_in_vitro,"Dinaciclib 10 nM, 48 h (cell cycle)",
plc5_shao_in_vitro__dinaciclib_10_nm_48_h_survival_signaling,plc5_shao_in_vitro,"Dinaciclib 10 nM, 48 h (survival signaling)",
plc5_shao_in_vitro__dinaciclib_10_nm_48_h_target_engagement,plc5_shao_in_vitro,"Dinaciclib 10 nM, 48 h (target engagement)",
plc5_shao_in_vitro__dinaciclib_10_nm_72_h,plc5_shao_in_vitro,"Dinaciclib 10 nM, 72 h",
plc5_shao_in_vitro__dinaciclib_10_nm_72_h_survival_signaling,plc5_shao_in_vitro,"Dinaciclib 10 nM, 72 h (survival signaling)",
plc5_shao_in_vitro__dinaciclib_10_nm_72_h_target_engagement,plc5_shao_in_vitro,"Dinaciclib 10 nM, 72 h (target engagement)",
plc5_shao_in_vitro__dinaciclib_15_nm_48_h_cell_cycle,plc5_shao_in_vitro,"Dinaciclib 15 nM, 48 h (cell cycle)",
plc5_shao_in_vitro__dinaciclib_15_nm_48_h_survival_signaling,plc5_shao_in_vitro,"Dinaciclib 15 nM, 48 h (survival signaling)",
plc5_shao_in_vitro__dinaciclib_15_nm_48_h_target_engagement,plc5_shao_in_vitro,"Dinaciclib 15 nM, 48 h (target engagement)",
plc5_shao_in_vitro__dinaciclib_15_nm_72_h,plc5_shao_in_vitro,"Dinaciclib 15 nM, 72 h",
plc5_shao_in_vitro__dinaciclib_15_nm_72_h_survival_signaling,plc5_shao_in_vitro,"Dinaciclib 15 nM, 72 h (survival signaling)",
plc5_shao_in_vitro__dinaciclib_15_nm_72_h_target_engagement,plc5_shao_in_vitro,"Dinaciclib 15 nM, 72 h (target engagement)",
plc5_shao_in_vitro__dinaciclib_20_nm_72_h,plc5_shao_in_vitro,"Dinaciclib 20 nM, 72 h",
plc5_shao_in_vitro__dinaciclib_25_nm_72_h,plc5_shao_in_vitro,"Dinaciclib 25 nM, 72 h",
plc5_shao_in_vitro__dinaciclib_30_nm_72_h,plc5_shao_in_vitro,"Dinaciclib 30 nM, 72 h",
plc5_shao_in_vitro__dinaciclib_50_nm_72_h,plc5_shao_in_vitro,"Dinaciclib 50 nM, 72 h",
plc5_shao_in_vitro__dinaciclib_5_nm_10_14_d_colony_formation,plc5_shao_in_vitro,"Dinaciclib 5 nM, 10-14 d colony formation",
plc5_shao_in_vitro__dinaciclib_5_nm_48_h_cell_cycle,plc5_shao_in_vitro,"Dinaciclib 5 nM, 48 h (cell cycle)",
plc5_shao_in_vitro__dinaciclib_5_nm_48_h_survival_signaling,plc5_shao_in_vitro,"Dinaciclib 5 nM, 48 h (survival signaling)",
plc5_shao_in_vitro__dinaciclib_5_nm_48_h_target_engagement,plc5_shao_in_vitro,"Dinaciclib 5 nM, 48 h (target engagement)",
plc5_shao_in_vitro__dinaciclib_5_nm_72_h,plc5_shao_in_vitro,"Dinaciclib 5 nM, 72 h",
plc5_shao_in_vitro__dinaciclib_5_nm_72_h_survival_signaling,plc5_shao_in_vitro,"Dinaciclib 5 nM, 72 h (survival signaling)",
plc5_shao_in_vitro__dinaciclib_5_nm_72_h_target_engagement,plc5_shao_in_vitro,"Dinaciclib 5 nM, 72 h (target engagement)",
plc5_shao_in_vitro__vehicle_control_10_14_d_colony_formation,plc5_shao_in_vitro,"Vehicle control, 10-14 d colony formation",
plc5_shao_in_vitro__vehicle_control_48_h_cell_cycle,plc5_shao_in_vitro,"Vehicle control, 48 h (cell cycle)",
plc5_shao_in_vitro__vehicle_control_48_h_survival_signaling,plc5_shao_in_vitro,"Vehicle control, 48 h (survival signaling)",
plc5_shao_in_vitro__vehicle_control_48_h_target_engagement,plc5_shao_in_vitro,"Vehicle control, 48 h (target engagement)",
plc5_shao_in_vitro__vehicle_control_72_h,plc5_shao_in_vitro,"Vehicle control, 72 h",
plc5_shao_in_vitro__vehicle_control_72_h_ic50_determining_dose_response,plc5_shao_in_vitro,"Vehicle control, 72 h (IC50-determining dose-response)",
plc5_shao_in_vitro__vehicle_control_72_h_survival_signaling,plc5_shao_in_vitro,"Vehicle control, 72 h (survival signaling)",
plc5_shao_in_vitro__vehicle_control_72_h_target_engagement,plc5_shao_in_vitro,"Vehicle control, 72 h (target engagement)",
plc5_shao_xenograft__dinaciclib_20_mg_kg,plc5_shao_xenograft,Dinaciclib 20 mg/kg,
plc5_shao_xenograft__dinaciclib_40_mg_kg,plc5_shao_xenograft,Dinaciclib 40 mg/kg,
plc5_shao_xenograft__sorafenib_15_mg_kg,plc5_shao_xenograft,Sorafenib 15 mg/kg,
plc5_shao_xenograft__vehicle,plc5_shao_xenograft,Vehicle,
tcga_hcc_ccne1_cohort__ccne1_high_vs_ccne1_low_tcga_km_plotter_stratification,tcga_hcc_ccne1_cohort,CCNE1-high vs CCNE1-low (TCGA/KM-plotter stratification),
