condition_step_key,condition_key,perturbation_name,dose_value,dose_unit,start_time,end_time,time_unit,sequence_index,notes
1205lu_xenograft__birinapant_30_mg_kg_ip_3x_week__step_1,1205lu_xenograft__birinapant_30_mg_kg_ip_3x_week,Birinapant,30,mg/kg,0,,d,1,"IP dosing 3x/week (Monday/Wednesday/Friday), started after palpable tumor formation."
1205lu_xenograft__birinapant_30_mg_kg_ip_twice_at_48_h_interval__step_1,1205lu_xenograft__birinapant_30_mg_kg_ip_twice_at_48_h_interval,Birinapant,30,mg/kg,0,48,h,1,Dosed twice at a 48 h interval; tumors harvested post final dose.
1205lu_xenograft__vehicle_control_xenograft__step_1,1205lu_xenograft__vehicle_control_xenograft,Vehicle,,,,,,1,
451lu_br_in_vitro__birinapant_0_nm_72_h__step_1,451lu_br_in_vitro__birinapant_0_nm_72_h,Birinapant,0.0,nM,0,72,h,1,
451lu_br_in_vitro__birinapant_0_nm_tnf_alpha_1_ng_ml_72_h__step_1,451lu_br_in_vitro__birinapant_0_nm_tnf_alpha_1_ng_ml_72_h,Birinapant,0.0,nM,0,72,h,1,
451lu_br_in_vitro__birinapant_0_nm_tnf_alpha_1_ng_ml_72_h__step_2,451lu_br_in_vitro__birinapant_0_nm_tnf_alpha_1_ng_ml_72_h,TNF-alpha,1,ng/mL,0,72,h,2,
451lu_br_in_vitro__birinapant_1000_nm_72_h__step_1,451lu_br_in_vitro__birinapant_1000_nm_72_h,Birinapant,1000.0,nM,0,72,h,1,
451lu_br_in_vitro__birinapant_1000_nm_tnf_alpha_1_ng_ml_72_h__step_1,451lu_br_in_vitro__birinapant_1000_nm_tnf_alpha_1_ng_ml_72_h,Birinapant,1000.0,nM,0,72,h,1,
451lu_br_in_vitro__birinapant_1000_nm_tnf_alpha_1_ng_ml_72_h__step_2,451lu_br_in_vitro__birinapant_1000_nm_tnf_alpha_1_ng_ml_72_h,TNF-alpha,1,ng/mL,0,72,h,2,
451lu_br_in_vitro__birinapant_100_nm_72_h__step_1,451lu_br_in_vitro__birinapant_100_nm_72_h,Birinapant,100.0,nM,0,72,h,1,
451lu_br_in_vitro__birinapant_100_nm_tnf_alpha_1_ng_ml_72_h__step_1,451lu_br_in_vitro__birinapant_100_nm_tnf_alpha_1_ng_ml_72_h,Birinapant,100.0,nM,0,72,h,1,
451lu_br_in_vitro__birinapant_100_nm_tnf_alpha_1_ng_ml_72_h__step_2,451lu_br_in_vitro__birinapant_100_nm_tnf_alpha_1_ng_ml_72_h,TNF-alpha,1,ng/mL,0,72,h,2,
451lu_br_in_vitro__birinapant_10_nm_72_h__step_1,451lu_br_in_vitro__birinapant_10_nm_72_h,Birinapant,10.0,nM,0,72,h,1,
451lu_br_in_vitro__birinapant_10_nm_tnf_alpha_1_ng_ml_72_h__step_1,451lu_br_in_vitro__birinapant_10_nm_tnf_alpha_1_ng_ml_72_h,Birinapant,10.0,nM,0,72,h,1,
451lu_br_in_vitro__birinapant_10_nm_tnf_alpha_1_ng_ml_72_h__step_2,451lu_br_in_vitro__birinapant_10_nm_tnf_alpha_1_ng_ml_72_h,TNF-alpha,1,ng/mL,0,72,h,2,
451lu_br_in_vitro__birinapant_1_nm_72_h__step_1,451lu_br_in_vitro__birinapant_1_nm_72_h,Birinapant,1.0,nM,0,72,h,1,
451lu_br_in_vitro__birinapant_1_nm_tnf_alpha_1_ng_ml_72_h__step_1,451lu_br_in_vitro__birinapant_1_nm_tnf_alpha_1_ng_ml_72_h,Birinapant,1.0,nM,0,72,h,1,
451lu_br_in_vitro__birinapant_1_nm_tnf_alpha_1_ng_ml_72_h__step_2,451lu_br_in_vitro__birinapant_1_nm_tnf_alpha_1_ng_ml_72_h,TNF-alpha,1,ng/mL,0,72,h,2,
451lu_in_vitro__birinapant_0_1_um_1_h__step_1,451lu_in_vitro__birinapant_0_1_um_1_h,Birinapant,0.1,uM,0,1.0,h,1,
451lu_in_vitro__birinapant_0_1_um_24_h__step_1,451lu_in_vitro__birinapant_0_1_um_24_h,Birinapant,0.1,uM,0,24.0,h,1,
451lu_in_vitro__birinapant_0_1_um_6_h__step_1,451lu_in_vitro__birinapant_0_1_um_6_h,Birinapant,0.1,uM,0,6.0,h,1,
451lu_in_vitro__birinapant_0_nm_72_h__step_1,451lu_in_vitro__birinapant_0_nm_72_h,Birinapant,0.0,nM,0,72,h,1,
451lu_in_vitro__birinapant_0_nm_tnf_alpha_1_ng_ml_72_h__step_1,451lu_in_vitro__birinapant_0_nm_tnf_alpha_1_ng_ml_72_h,Birinapant,0.0,nM,0,72,h,1,
451lu_in_vitro__birinapant_0_nm_tnf_alpha_1_ng_ml_72_h__step_2,451lu_in_vitro__birinapant_0_nm_tnf_alpha_1_ng_ml_72_h,TNF-alpha,1,ng/mL,0,72,h,2,
451lu_in_vitro__birinapant_1000_nm_48_h__step_1,451lu_in_vitro__birinapant_1000_nm_48_h,Birinapant,1000,nM,0,48,h,1,
451lu_in_vitro__birinapant_1000_nm_72_h__step_1,451lu_in_vitro__birinapant_1000_nm_72_h,Birinapant,1000.0,nM,0,72,h,1,
451lu_in_vitro__birinapant_1000_nm_tnf_alpha_1_ng_ml_24_h__step_1,451lu_in_vitro__birinapant_1000_nm_tnf_alpha_1_ng_ml_24_h,Birinapant,1000,nM,0,24,h,1,
451lu_in_vitro__birinapant_1000_nm_tnf_alpha_1_ng_ml_24_h__step_2,451lu_in_vitro__birinapant_1000_nm_tnf_alpha_1_ng_ml_24_h,TNF-alpha,1,ng/mL,0,24,h,2,
451lu_in_vitro__birinapant_1000_nm_tnf_alpha_1_ng_ml_48_h__step_1,451lu_in_vitro__birinapant_1000_nm_tnf_alpha_1_ng_ml_48_h,Birinapant,1000,nM,0,48,h,1,
451lu_in_vitro__birinapant_1000_nm_tnf_alpha_1_ng_ml_48_h__step_2,451lu_in_vitro__birinapant_1000_nm_tnf_alpha_1_ng_ml_48_h,TNF-alpha,1,ng/mL,0,48,h,2,
451lu_in_vitro__birinapant_1000_nm_tnf_alpha_1_ng_ml_72_h__step_1,451lu_in_vitro__birinapant_1000_nm_tnf_alpha_1_ng_ml_72_h,Birinapant,1000.0,nM,0,72,h,1,
451lu_in_vitro__birinapant_1000_nm_tnf_alpha_1_ng_ml_72_h__step_2,451lu_in_vitro__birinapant_1000_nm_tnf_alpha_1_ng_ml_72_h,TNF-alpha,1,ng/mL,0,72,h,2,
451lu_in_vitro__birinapant_100_nm_72_h__step_1,451lu_in_vitro__birinapant_100_nm_72_h,Birinapant,100.0,nM,0,72,h,1,
451lu_in_vitro__birinapant_100_nm_tnf_alpha_1_ng_ml_72_h__step_1,451lu_in_vitro__birinapant_100_nm_tnf_alpha_1_ng_ml_72_h,Birinapant,100.0,nM,0,72,h,1,
451lu_in_vitro__birinapant_100_nm_tnf_alpha_1_ng_ml_72_h__step_2,451lu_in_vitro__birinapant_100_nm_tnf_alpha_1_ng_ml_72_h,TNF-alpha,1,ng/mL,0,72,h,2,
451lu_in_vitro__birinapant_10_nm_72_h__step_1,451lu_in_vitro__birinapant_10_nm_72_h,Birinapant,10.0,nM,0,72,h,1,
451lu_in_vitro__birinapant_10_nm_tnf_alpha_1_ng_ml_72_h__step_1,451lu_in_vitro__birinapant_10_nm_tnf_alpha_1_ng_ml_72_h,Birinapant,10.0,nM,0,72,h,1,
451lu_in_vitro__birinapant_10_nm_tnf_alpha_1_ng_ml_72_h__step_2,451lu_in_vitro__birinapant_10_nm_tnf_alpha_1_ng_ml_72_h,TNF-alpha,1,ng/mL,0,72,h,2,
451lu_in_vitro__birinapant_10_um_1_h__step_1,451lu_in_vitro__birinapant_10_um_1_h,Birinapant,10.0,uM,0,1.0,h,1,
451lu_in_vitro__birinapant_10_um_24_h__step_1,451lu_in_vitro__birinapant_10_um_24_h,Birinapant,10.0,uM,0,24.0,h,1,
451lu_in_vitro__birinapant_10_um_6_h__step_1,451lu_in_vitro__birinapant_10_um_6_h,Birinapant,10.0,uM,0,6.0,h,1,
451lu_in_vitro__birinapant_1_nm_72_h__step_1,451lu_in_vitro__birinapant_1_nm_72_h,Birinapant,1.0,nM,0,72,h,1,
451lu_in_vitro__birinapant_1_nm_tnf_alpha_1_ng_ml_72_h__step_1,451lu_in_vitro__birinapant_1_nm_tnf_alpha_1_ng_ml_72_h,Birinapant,1.0,nM,0,72,h,1,
451lu_in_vitro__birinapant_1_nm_tnf_alpha_1_ng_ml_72_h__step_2,451lu_in_vitro__birinapant_1_nm_tnf_alpha_1_ng_ml_72_h,TNF-alpha,1,ng/mL,0,72,h,2,
451lu_in_vitro__birinapant_1_um_1_h__step_1,451lu_in_vitro__birinapant_1_um_1_h,Birinapant,1.0,uM,0,1.0,h,1,
451lu_in_vitro__birinapant_1_um_24_h__step_1,451lu_in_vitro__birinapant_1_um_24_h,Birinapant,1.0,uM,0,24.0,h,1,
451lu_in_vitro__birinapant_1_um_6_h__step_1,451lu_in_vitro__birinapant_1_um_6_h,Birinapant,1.0,uM,0,6.0,h,1,
451lu_in_vitro__birinapant_1_um_tnf_alpha_1_ng_ml_necrostatin_1_0_um_72_h__step_1,451lu_in_vitro__birinapant_1_um_tnf_alpha_1_ng_ml_necrostatin_1_0_um_72_h,Birinapant,1000,nM,0,72,h,1,
451lu_in_vitro__birinapant_1_um_tnf_alpha_1_ng_ml_necrostatin_1_0_um_72_h__step_2,451lu_in_vitro__birinapant_1_um_tnf_alpha_1_ng_ml_necrostatin_1_0_um_72_h,TNF-alpha,1,ng/mL,0,72,h,2,
451lu_in_vitro__birinapant_1_um_tnf_alpha_1_ng_ml_necrostatin_1_0_um_72_h__step_3,451lu_in_vitro__birinapant_1_um_tnf_alpha_1_ng_ml_necrostatin_1_0_um_72_h,Necrostatin-1,0.0,uM,0,72,h,3,
451lu_in_vitro__birinapant_1_um_tnf_alpha_1_ng_ml_necrostatin_1_10_um_72_h__step_1,451lu_in_vitro__birinapant_1_um_tnf_alpha_1_ng_ml_necrostatin_1_10_um_72_h,Birinapant,1000,nM,0,72,h,1,
451lu_in_vitro__birinapant_1_um_tnf_alpha_1_ng_ml_necrostatin_1_10_um_72_h__step_2,451lu_in_vitro__birinapant_1_um_tnf_alpha_1_ng_ml_necrostatin_1_10_um_72_h,TNF-alpha,1,ng/mL,0,72,h,2,
451lu_in_vitro__birinapant_1_um_tnf_alpha_1_ng_ml_necrostatin_1_10_um_72_h__step_3,451lu_in_vitro__birinapant_1_um_tnf_alpha_1_ng_ml_necrostatin_1_10_um_72_h,Necrostatin-1,10.0,uM,0,72,h,3,
451lu_in_vitro__birinapant_1_um_tnf_alpha_1_ng_ml_z_vad_fmk_0_um_72_h__step_1,451lu_in_vitro__birinapant_1_um_tnf_alpha_1_ng_ml_z_vad_fmk_0_um_72_h,Birinapant,1000,nM,0,72,h,1,
451lu_in_vitro__birinapant_1_um_tnf_alpha_1_ng_ml_z_vad_fmk_0_um_72_h__step_2,451lu_in_vitro__birinapant_1_um_tnf_alpha_1_ng_ml_z_vad_fmk_0_um_72_h,TNF-alpha,1,ng/mL,0,72,h,2,
451lu_in_vitro__birinapant_1_um_tnf_alpha_1_ng_ml_z_vad_fmk_0_um_72_h__step_3,451lu_in_vitro__birinapant_1_um_tnf_alpha_1_ng_ml_z_vad_fmk_0_um_72_h,Z-VAD-FMK,0.0,uM,0,72,h,3,
451lu_in_vitro__birinapant_1_um_tnf_alpha_1_ng_ml_z_vad_fmk_10_um_72_h__step_1,451lu_in_vitro__birinapant_1_um_tnf_alpha_1_ng_ml_z_vad_fmk_10_um_72_h,Birinapant,1000,nM,0,72,h,1,
451lu_in_vitro__birinapant_1_um_tnf_alpha_1_ng_ml_z_vad_fmk_10_um_72_h__step_2,451lu_in_vitro__birinapant_1_um_tnf_alpha_1_ng_ml_z_vad_fmk_10_um_72_h,TNF-alpha,1,ng/mL,0,72,h,2,
451lu_in_vitro__birinapant_1_um_tnf_alpha_1_ng_ml_z_vad_fmk_10_um_72_h__step_3,451lu_in_vitro__birinapant_1_um_tnf_alpha_1_ng_ml_z_vad_fmk_10_um_72_h,Z-VAD-FMK,10.0,uM,0,72,h,3,
451lu_in_vitro__birinapant_tnf_alpha_1_ng_ml_dose_response_72_h__step_1,451lu_in_vitro__birinapant_tnf_alpha_1_ng_ml_dose_response_72_h,Birinapant,,nM,0,72,h,1,"IC50-determining dose-response, approximately 1-1000 nM range."
451lu_in_vitro__birinapant_tnf_alpha_1_ng_ml_dose_response_72_h__step_2,451lu_in_vitro__birinapant_tnf_alpha_1_ng_ml_dose_response_72_h,TNF-alpha,1,ng/mL,0,72,h,2,
451lu_in_vitro__cisplatin_0_um_72_h__step_1,451lu_in_vitro__cisplatin_0_um_72_h,Cisplatin,0.0,uM,0,72,h,1,
451lu_in_vitro__cisplatin_0_um_birinapant_100_nm_72_h__step_1,451lu_in_vitro__cisplatin_0_um_birinapant_100_nm_72_h,Cisplatin,0.0,uM,0,72,h,1,
451lu_in_vitro__cisplatin_0_um_birinapant_100_nm_72_h__step_2,451lu_in_vitro__cisplatin_0_um_birinapant_100_nm_72_h,Birinapant,100,nM,0,72,h,2,
451lu_in_vitro__cisplatin_10_um_72_h__step_1,451lu_in_vitro__cisplatin_10_um_72_h,Cisplatin,10.0,uM,0,72,h,1,
451lu_in_vitro__cisplatin_10_um_birinapant_100_nm_72_h__step_1,451lu_in_vitro__cisplatin_10_um_birinapant_100_nm_72_h,Cisplatin,10.0,uM,0,72,h,1,
451lu_in_vitro__cisplatin_10_um_birinapant_100_nm_72_h__step_2,451lu_in_vitro__cisplatin_10_um_birinapant_100_nm_72_h,Birinapant,100,nM,0,72,h,2,
451lu_in_vitro__cisplatin_20_um_72_h__step_1,451lu_in_vitro__cisplatin_20_um_72_h,Cisplatin,20.0,uM,0,72,h,1,
451lu_in_vitro__cisplatin_20_um_birinapant_100_nm_72_h__step_1,451lu_in_vitro__cisplatin_20_um_birinapant_100_nm_72_h,Cisplatin,20.0,uM,0,72,h,1,
451lu_in_vitro__cisplatin_20_um_birinapant_100_nm_72_h__step_2,451lu_in_vitro__cisplatin_20_um_birinapant_100_nm_72_h,Birinapant,100,nM,0,72,h,2,
451lu_in_vitro__cisplatin_2_5_um_72_h__step_1,451lu_in_vitro__cisplatin_2_5_um_72_h,Cisplatin,2.5,uM,0,72,h,1,
451lu_in_vitro__cisplatin_2_5_um_birinapant_100_nm_72_h__step_1,451lu_in_vitro__cisplatin_2_5_um_birinapant_100_nm_72_h,Cisplatin,2.5,uM,0,72,h,1,
451lu_in_vitro__cisplatin_2_5_um_birinapant_100_nm_72_h__step_2,451lu_in_vitro__cisplatin_2_5_um_birinapant_100_nm_72_h,Birinapant,100,nM,0,72,h,2,
451lu_in_vitro__cisplatin_5_um_72_h__step_1,451lu_in_vitro__cisplatin_5_um_72_h,Cisplatin,5.0,uM,0,72,h,1,
451lu_in_vitro__cisplatin_5_um_birinapant_100_nm_72_h__step_1,451lu_in_vitro__cisplatin_5_um_birinapant_100_nm_72_h,Cisplatin,5.0,uM,0,72,h,1,
451lu_in_vitro__cisplatin_5_um_birinapant_100_nm_72_h__step_2,451lu_in_vitro__cisplatin_5_um_birinapant_100_nm_72_h,Birinapant,100,nM,0,72,h,2,
451lu_in_vitro__schedule_birinapant_0_nm_0_36h_then_tnf_alpha_1_ng_ml_36_72h__step_1,451lu_in_vitro__schedule_birinapant_0_nm_0_36h_then_tnf_alpha_1_ng_ml_36_72h,Birinapant,0.0,nM,0,36,h,1,Dosed first.
451lu_in_vitro__schedule_birinapant_0_nm_0_36h_then_tnf_alpha_1_ng_ml_36_72h__step_2,451lu_in_vitro__schedule_birinapant_0_nm_0_36h_then_tnf_alpha_1_ng_ml_36_72h,TNF-alpha,1,ng/mL,36,72,h,2,Added after 36 h birinapant pre-incubation.
451lu_in_vitro__schedule_birinapant_1000_nm_0_36h_then_tnf_alpha_1_ng_ml_36_72h__step_1,451lu_in_vitro__schedule_birinapant_1000_nm_0_36h_then_tnf_alpha_1_ng_ml_36_72h,Birinapant,1000.0,nM,0,36,h,1,Dosed first.
451lu_in_vitro__schedule_birinapant_1000_nm_0_36h_then_tnf_alpha_1_ng_ml_36_72h__step_2,451lu_in_vitro__schedule_birinapant_1000_nm_0_36h_then_tnf_alpha_1_ng_ml_36_72h,TNF-alpha,1,ng/mL,36,72,h,2,Added after 36 h birinapant pre-incubation.
451lu_in_vitro__schedule_birinapant_100_nm_0_36h_then_tnf_alpha_1_ng_ml_36_72h__step_1,451lu_in_vitro__schedule_birinapant_100_nm_0_36h_then_tnf_alpha_1_ng_ml_36_72h,Birinapant,100.0,nM,0,36,h,1,Dosed first.
451lu_in_vitro__schedule_birinapant_100_nm_0_36h_then_tnf_alpha_1_ng_ml_36_72h__step_2,451lu_in_vitro__schedule_birinapant_100_nm_0_36h_then_tnf_alpha_1_ng_ml_36_72h,TNF-alpha,1,ng/mL,36,72,h,2,Added after 36 h birinapant pre-incubation.
451lu_in_vitro__schedule_birinapant_10_nm_0_36h_then_tnf_alpha_1_ng_ml_36_72h__step_1,451lu_in_vitro__schedule_birinapant_10_nm_0_36h_then_tnf_alpha_1_ng_ml_36_72h,Birinapant,10.0,nM,0,36,h,1,Dosed first.
451lu_in_vitro__schedule_birinapant_10_nm_0_36h_then_tnf_alpha_1_ng_ml_36_72h__step_2,451lu_in_vitro__schedule_birinapant_10_nm_0_36h_then_tnf_alpha_1_ng_ml_36_72h,TNF-alpha,1,ng/mL,36,72,h,2,Added after 36 h birinapant pre-incubation.
451lu_in_vitro__schedule_birinapant_1_nm_0_36h_then_tnf_alpha_1_ng_ml_36_72h__step_1,451lu_in_vitro__schedule_birinapant_1_nm_0_36h_then_tnf_alpha_1_ng_ml_36_72h,Birinapant,1.0,nM,0,36,h,1,Dosed first.
451lu_in_vitro__schedule_birinapant_1_nm_0_36h_then_tnf_alpha_1_ng_ml_36_72h__step_2,451lu_in_vitro__schedule_birinapant_1_nm_0_36h_then_tnf_alpha_1_ng_ml_36_72h,TNF-alpha,1,ng/mL,36,72,h,2,Added after 36 h birinapant pre-incubation.
451lu_in_vitro__schedule_tnf_alpha_1_ng_ml_0_36h_then_birinapant_0_nm_36_72h__step_1,451lu_in_vitro__schedule_tnf_alpha_1_ng_ml_0_36h_then_birinapant_0_nm_36_72h,TNF-alpha,1,ng/mL,0,36,h,1,Dosed first.
451lu_in_vitro__schedule_tnf_alpha_1_ng_ml_0_36h_then_birinapant_0_nm_36_72h__step_2,451lu_in_vitro__schedule_tnf_alpha_1_ng_ml_0_36h_then_birinapant_0_nm_36_72h,Birinapant,0.0,nM,36,72,h,2,Added after 36 h TNF-alpha pre-incubation.
451lu_in_vitro__schedule_tnf_alpha_1_ng_ml_0_36h_then_birinapant_1000_nm_36_72h__step_1,451lu_in_vitro__schedule_tnf_alpha_1_ng_ml_0_36h_then_birinapant_1000_nm_36_72h,TNF-alpha,1,ng/mL,0,36,h,1,Dosed first.
451lu_in_vitro__schedule_tnf_alpha_1_ng_ml_0_36h_then_birinapant_1000_nm_36_72h__step_2,451lu_in_vitro__schedule_tnf_alpha_1_ng_ml_0_36h_then_birinapant_1000_nm_36_72h,Birinapant,1000.0,nM,36,72,h,2,Added after 36 h TNF-alpha pre-incubation.
451lu_in_vitro__schedule_tnf_alpha_1_ng_ml_0_36h_then_birinapant_100_nm_36_72h__step_1,451lu_in_vitro__schedule_tnf_alpha_1_ng_ml_0_36h_then_birinapant_100_nm_36_72h,TNF-alpha,1,ng/mL,0,36,h,1,Dosed first.
451lu_in_vitro__schedule_tnf_alpha_1_ng_ml_0_36h_then_birinapant_100_nm_36_72h__step_2,451lu_in_vitro__schedule_tnf_alpha_1_ng_ml_0_36h_then_birinapant_100_nm_36_72h,Birinapant,100.0,nM,36,72,h,2,Added after 36 h TNF-alpha pre-incubation.
451lu_in_vitro__schedule_tnf_alpha_1_ng_ml_0_36h_then_birinapant_10_nm_36_72h__step_1,451lu_in_vitro__schedule_tnf_alpha_1_ng_ml_0_36h_then_birinapant_10_nm_36_72h,TNF-alpha,1,ng/mL,0,36,h,1,Dosed first.
451lu_in_vitro__schedule_tnf_alpha_1_ng_ml_0_36h_then_birinapant_10_nm_36_72h__step_2,451lu_in_vitro__schedule_tnf_alpha_1_ng_ml_0_36h_then_birinapant_10_nm_36_72h,Birinapant,10.0,nM,36,72,h,2,Added after 36 h TNF-alpha pre-incubation.
451lu_in_vitro__schedule_tnf_alpha_1_ng_ml_0_36h_then_birinapant_1_nm_36_72h__step_1,451lu_in_vitro__schedule_tnf_alpha_1_ng_ml_0_36h_then_birinapant_1_nm_36_72h,TNF-alpha,1,ng/mL,0,36,h,1,Dosed first.
451lu_in_vitro__schedule_tnf_alpha_1_ng_ml_0_36h_then_birinapant_1_nm_36_72h__step_2,451lu_in_vitro__schedule_tnf_alpha_1_ng_ml_0_36h_then_birinapant_1_nm_36_72h,Birinapant,1.0,nM,36,72,h,2,Added after 36 h TNF-alpha pre-incubation.
451lu_in_vitro__tnf_alpha_1_ng_ml_48_h__step_1,451lu_in_vitro__tnf_alpha_1_ng_ml_48_h,TNF-alpha,1,ng/mL,0,48,h,1,
451lu_in_vitro__vehicle_control__step_1,451lu_in_vitro__vehicle_control,Vehicle,,,,,,1,
451lu_spheroid__birinapant_1000_nm_tnf_alpha_1_ng_ml_72_h_spheroid__step_1,451lu_spheroid__birinapant_1000_nm_tnf_alpha_1_ng_ml_72_h_spheroid,Birinapant,1000,nM,0,72,h,1,
451lu_spheroid__birinapant_1000_nm_tnf_alpha_1_ng_ml_72_h_spheroid__step_2,451lu_spheroid__birinapant_1000_nm_tnf_alpha_1_ng_ml_72_h_spheroid,TNF-alpha,1,ng/mL,0,72,h,2,
451lu_xenograft__birinapant_30_mg_kg_ip_24_h_post_dose__step_1,451lu_xenograft__birinapant_30_mg_kg_ip_24_h_post_dose,Birinapant,30,mg/kg,,24,h,1,IP dosing; 24 h post-dose tumor harvest.
451lu_xenograft__birinapant_30_mg_kg_ip_3x_week__step_1,451lu_xenograft__birinapant_30_mg_kg_ip_3x_week,Birinapant,30,mg/kg,0,,d,1,"IP dosing 3x/week (Monday/Wednesday/Friday), started after palpable tumor formation."
451lu_xenograft__birinapant_30_mg_kg_ip_twice_at_48_h_interval__step_1,451lu_xenograft__birinapant_30_mg_kg_ip_twice_at_48_h_interval,Birinapant,30,mg/kg,0,48,h,1,Dosed twice at a 48 h interval; tumors harvested post final dose.
451lu_xenograft__vehicle_control_xenograft__step_1,451lu_xenograft__vehicle_control_xenograft,Vehicle,,,,,,1,
birinapant_resistant_lines_pooled__tnf_alpha_1_ng_ml__step_1,birinapant_resistant_lines_pooled__tnf_alpha_1_ng_ml,TNF-alpha,1,ng/mL,,,,1,
birinapant_resistant_lines_pooled__untreated__step_1,birinapant_resistant_lines_pooled__untreated,No perturbation,,,,,,1,
birinapant_sensitive_lines_pooled__tnf_alpha_1_ng_ml__step_1,birinapant_sensitive_lines_pooled__tnf_alpha_1_ng_ml,TNF-alpha,1,ng/mL,,,,1,
birinapant_sensitive_lines_pooled__untreated__step_1,birinapant_sensitive_lines_pooled__untreated,No perturbation,,,,,,1,
c8161_in_vitro__birinapant_alone_dose_response_72_h__step_1,c8161_in_vitro__birinapant_alone_dose_response_72_h,Birinapant,,nM,0,72,h,1,"IC50-determining dose-response, approximately 1-1000 nM range."
c8161_in_vitro__birinapant_tnf_alpha_1_ng_ml_dose_response_72_h__step_1,c8161_in_vitro__birinapant_tnf_alpha_1_ng_ml_dose_response_72_h,Birinapant,,nM,0,72,h,1,"IC50-determining dose-response, approximately 1-1000 nM range."
c8161_in_vitro__birinapant_tnf_alpha_1_ng_ml_dose_response_72_h__step_2,c8161_in_vitro__birinapant_tnf_alpha_1_ng_ml_dose_response_72_h,TNF-alpha,1,ng/mL,0,72,h,2,
uacc_62_in_vitro__birinapant_alone_dose_response_72_h__step_1,uacc_62_in_vitro__birinapant_alone_dose_response_72_h,Birinapant,,nM,0,72,h,1,"IC50-determining dose-response, approximately 1-1000 nM range."
uacc_62_in_vitro__birinapant_tnf_alpha_1_ng_ml_dose_response_72_h__step_1,uacc_62_in_vitro__birinapant_tnf_alpha_1_ng_ml_dose_response_72_h,Birinapant,,nM,0,72,h,1,"IC50-determining dose-response, approximately 1-1000 nM range."
uacc_62_in_vitro__birinapant_tnf_alpha_1_ng_ml_dose_response_72_h__step_2,uacc_62_in_vitro__birinapant_tnf_alpha_1_ng_ml_dose_response_72_h,TNF-alpha,1,ng/mL,0,72,h,2,
wm1341d_in_vitro__birinapant_tnf_alpha_1_ng_ml_dose_response_72_h__step_1,wm1341d_in_vitro__birinapant_tnf_alpha_1_ng_ml_dose_response_72_h,Birinapant,,nM,0,72,h,1,"IC50-determining dose-response, approximately 1-1000 nM range."
