context_key,species,cell_line,cell_type,tissue,disease,culture_context,notes
wm1366_spheroid,Homo sapiens,WM1366,melanoma cell (3D spheroid),cutaneous melanoma,melanoma,3D spheroid embedded in collagen matrix mimicking stroma,Melanoma phenotype tier (2D): Combination sensitive. 3D validation of the 2D combination-sensitivity phenotype.
wm164_in_vitro,Homo sapiens,WM164,melanoma cell,cutaneous melanoma,melanoma,"in vitro 2D cell culture, DMEM with 5% FBS",Melanoma phenotype tier (Figure 1 bracket grouping): Combination sensitive.
wm1799_in_vitro,Homo sapiens,WM1799,melanoma cell,cutaneous melanoma,melanoma,"in vitro 2D cell culture, DMEM with 5% FBS",Melanoma phenotype tier (Figure 1 bracket grouping): Resistant.
wm1985_in_vitro,Homo sapiens,WM1985,melanoma cell,cutaneous melanoma,melanoma,"in vitro 2D cell culture, DMEM with 5% FBS",Melanoma phenotype tier (Figure 1 bracket grouping): Combination sensitive.
wm3130_in_vitro,Homo sapiens,WM3130,melanoma cell,cutaneous melanoma,melanoma,"in vitro 2D cell culture, DMEM with 5% FBS",Melanoma phenotype tier (Figure 1 bracket grouping): Combination sensitive.
wm3670_in_vitro,Homo sapiens,WM3670,melanoma cell,cutaneous melanoma,melanoma,"in vitro 2D cell culture, DMEM with 5% FBS",Melanoma phenotype tier (Figure 1 bracket grouping): Resistant.
wm3854_in_vitro,Homo sapiens,WM3854,melanoma cell,cutaneous melanoma,melanoma,"in vitro 2D cell culture, DMEM with 5% FBS",Melanoma phenotype tier (Figure 1 bracket grouping): Combination sensitive.
wm3918_in_vitro,Homo sapiens,WM3918,melanoma cell,cutaneous melanoma,melanoma,"in vitro 2D cell culture, DMEM with 5% FBS",Melanoma phenotype tier (Figure 1 bracket grouping): Resistant.
wm793b_in_vitro,Homo sapiens,WM793B,melanoma cell,cutaneous melanoma,melanoma,"in vitro 2D cell culture, DMEM with 5% FBS",Melanoma phenotype tier (Figure 1 bracket grouping): Combination sensitive.
wm8_in_vitro,Homo sapiens,WM8,melanoma cell,cutaneous melanoma,melanoma,"in vitro 2D cell culture, DMEM with 5% FBS",Melanoma phenotype tier (Figure 1 bracket grouping): Resistant.
wm9_in_vitro,Homo sapiens,WM9,melanoma cell,cutaneous melanoma,melanoma,"in vitro 2D cell culture, DMEM with 5% FBS",Melanoma phenotype tier (Figure 1 bracket grouping): Single agent sensitive. Reported driver genotype: BRAFV600E.
wm9_spheroid,Homo sapiens,WM9,melanoma cell (3D spheroid),cutaneous melanoma,melanoma,3D spheroid embedded in collagen matrix mimicking stroma,Melanoma phenotype tier (2D): Single agent sensitive. 3D validation of the 2D combination-sensitivity phenotype.
wth202_in_vitro,Homo sapiens,WTH202,melanoma cell,cutaneous melanoma,melanoma,"in vitro 2D cell culture, DMEM with 5% FBS",Melanoma phenotype tier (Figure 1 bracket grouping): Combination sensitive.
