condition_key,context_key,condition_label,notes
451lu_br_in_vitro__birinapant_1000_nm_tnf_alpha_1_ng_ml_72_h,451lu_br_in_vitro,"Birinapant 1000 nM + TNF-alpha 1 ng/mL, 72 h",
451lu_br_in_vitro__birinapant_100_nm_72_h,451lu_br_in_vitro,"Birinapant 100 nM, 72 h",
451lu_br_in_vitro__birinapant_100_nm_tnf_alpha_1_ng_ml_72_h,451lu_br_in_vitro,"Birinapant 100 nM + TNF-alpha 1 ng/mL, 72 h",
451lu_br_in_vitro__birinapant_10_nm_72_h,451lu_br_in_vitro,"Birinapant 10 nM, 72 h",
451lu_br_in_vitro__birinapant_10_nm_tnf_alpha_1_ng_ml_72_h,451lu_br_in_vitro,"Birinapant 10 nM + TNF-alpha 1 ng/mL, 72 h",
451lu_br_in_vitro__birinapant_1_nm_72_h,451lu_br_in_vitro,"Birinapant 1 nM, 72 h",
451lu_br_in_vitro__birinapant_1_nm_tnf_alpha_1_ng_ml_72_h,451lu_br_in_vitro,"Birinapant 1 nM + TNF-alpha 1 ng/mL, 72 h",
451lu_in_vitro__birinapant_0_1_um_1_h,451lu_in_vitro,"Birinapant 0.1 uM, 1 h",
451lu_in_vitro__birinapant_0_1_um_24_h,451lu_in_vitro,"Birinapant 0.1 uM, 24 h",
451lu_in_vitro__birinapant_0_1_um_6_h,451lu_in_vitro,"Birinapant 0.1 uM, 6 h",
451lu_in_vitro__birinapant_0_nm_72_h,451lu_in_vitro,"Birinapant 0 nM, 72 h",
451lu_in_vitro__birinapant_0_nm_tnf_alpha_1_ng_ml_72_h,451lu_in_vitro,"Birinapant 0 nM + TNF-alpha 1 ng/mL, 72 h",
451lu_in_vitro__birinapant_1000_nm_48_h,451lu_in_vitro,"Birinapant 1000 nM, 48 h",
451lu_in_vitro__birinapant_1000_nm_72_h,451lu_in_vitro,"Birinapant 1000 nM, 72 h",
451lu_in_vitro__birinapant_1000_nm_tnf_alpha_1_ng_ml_24_h,451lu_in_vitro,"Birinapant 1000 nM + TNF-alpha 1 ng/mL, 24 h",
451lu_in_vitro__birinapant_1000_nm_tnf_alpha_1_ng_ml_48_h,451lu_in_vitro,"Birinapant 1000 nM + TNF-alpha 1 ng/mL, 48 h",
451lu_in_vitro__birinapant_1000_nm_tnf_alpha_1_ng_ml_72_h,451lu_in_vitro,"Birinapant 1000 nM + TNF-alpha 1 ng/mL, 72 h",
451lu_in_vitro__birinapant_100_nm_72_h,451lu_in_vitro,"Birinapant 100 nM, 72 h",
451lu_in_vitro__birinapant_100_nm_tnf_alpha_1_ng_ml_72_h,451lu_in_vitro,"Birinapant 100 nM + TNF-alpha 1 ng/mL, 72 h",
451lu_in_vitro__birinapant_10_nm_72_h,451lu_in_vitro,"Birinapant 10 nM, 72 h",
451lu_in_vitro__birinapant_10_nm_tnf_alpha_1_ng_ml_72_h,451lu_in_vitro,"Birinapant 10 nM + TNF-alpha 1 ng/mL, 72 h",
451lu_in_vitro__birinapant_10_um_1_h,451lu_in_vitro,"Birinapant 10 uM, 1 h",
451lu_in_vitro__birinapant_10_um_24_h,451lu_in_vitro,"Birinapant 10 uM, 24 h",
451lu_in_vitro__birinapant_10_um_6_h,451lu_in_vitro,"Birinapant 10 uM, 6 h",
451lu_in_vitro__birinapant_1_nm_72_h,451lu_in_vitro,"Birinapant 1 nM, 72 h",
451lu_in_vitro__birinapant_1_nm_tnf_alpha_1_ng_ml_72_h,451lu_in_vitro,"Birinapant 1 nM + TNF-alpha 1 ng/mL, 72 h",
451lu_in_vitro__birinapant_1_um_1_h,451lu_in_vitro,"Birinapant 1 uM, 1 h",
451lu_in_vitro__birinapant_1_um_24_h,451lu_in_vitro,"Birinapant 1 uM, 24 h",
451lu_in_vitro__birinapant_1_um_6_h,451lu_in_vitro,"Birinapant 1 uM, 6 h",
451lu_in_vitro__birinapant_1_um_tnf_alpha_1_ng_ml_necrostatin_1_0_um_72_h,451lu_in_vitro,"Birinapant 1 uM + TNF-alpha 1 ng/mL + Necrostatin-1 0 uM, 72 h",
451lu_in_vitro__birinapant_1_um_tnf_alpha_1_ng_ml_necrostatin_1_10_um_72_h,451lu_in_vitro,"Birinapant 1 uM + TNF-alpha 1 ng/mL + Necrostatin-1 10 uM, 72 h",
451lu_in_vitro__birinapant_1_um_tnf_alpha_1_ng_ml_z_vad_fmk_0_um_72_h,451lu_in_vitro,"Birinapant 1 uM + TNF-alpha 1 ng/mL + Z-VAD-FMK 0 uM, 72 h",
451lu_in_vitro__birinapant_1_um_tnf_alpha_1_ng_ml_z_vad_fmk_10_um_72_h,451lu_in_vitro,"Birinapant 1 uM + TNF-alpha 1 ng/mL + Z-VAD-FMK 10 uM, 72 h",
451lu_in_vitro__birinapant_tnf_alpha_1_ng_ml_dose_response_72_h,451lu_in_vitro,"Birinapant + TNF-alpha 1 ng/mL, dose-response, 72 h",
451lu_in_vitro__cisplatin_0_um_72_h,451lu_in_vitro,"Cisplatin 0 uM, 72 h",
451lu_in_vitro__cisplatin_0_um_birinapant_100_nm_72_h,451lu_in_vitro,"Cisplatin 0 uM + birinapant 100 nM, 72 h",
451lu_in_vitro__cisplatin_10_um_72_h,451lu_in_vitro,"Cisplatin 10 uM, 72 h",
451lu_in_vitro__cisplatin_10_um_birinapant_100_nm_72_h,451lu_in_vitro,"Cisplatin 10 uM + birinapant 100 nM, 72 h",
451lu_in_vitro__cisplatin_20_um_72_h,451lu_in_vitro,"Cisplatin 20 uM, 72 h",
451lu_in_vitro__cisplatin_20_um_birinapant_100_nm_72_h,451lu_in_vitro,"Cisplatin 20 uM + birinapant 100 nM, 72 h",
451lu_in_vitro__cisplatin_2_5_um_72_h,451lu_in_vitro,"Cisplatin 2.5 uM, 72 h",
451lu_in_vitro__cisplatin_2_5_um_birinapant_100_nm_72_h,451lu_in_vitro,"Cisplatin 2.5 uM + birinapant 100 nM, 72 h",
451lu_in_vitro__cisplatin_5_um_72_h,451lu_in_vitro,"Cisplatin 5 uM, 72 h",
451lu_in_vitro__cisplatin_5_um_birinapant_100_nm_72_h,451lu_in_vitro,"Cisplatin 5 uM + birinapant 100 nM, 72 h",
451lu_in_vitro__schedule_birinapant_0_nm_0_36h_then_tnf_alpha_1_ng_ml_36_72h,451lu_in_vitro,Schedule: birinapant 0 nM (0-36h) then TNF-alpha 1 ng/mL (36-72h),
451lu_in_vitro__schedule_birinapant_1000_nm_0_36h_then_tnf_alpha_1_ng_ml_36_72h,451lu_in_vitro,Schedule: birinapant 1000 nM (0-36h) then TNF-alpha 1 ng/mL (36-72h),
451lu_in_vitro__schedule_birinapant_100_nm_0_36h_then_tnf_alpha_1_ng_ml_36_72h,451lu_in_vitro,Schedule: birinapant 100 nM (0-36h) then TNF-alpha 1 ng/mL (36-72h),
451lu_in_vitro__schedule_birinapant_10_nm_0_36h_then_tnf_alpha_1_ng_ml_36_72h,451lu_in_vitro,Schedule: birinapant 10 nM (0-36h) then TNF-alpha 1 ng/mL (36-72h),
451lu_in_vitro__schedule_birinapant_1_nm_0_36h_then_tnf_alpha_1_ng_ml_36_72h,451lu_in_vitro,Schedule: birinapant 1 nM (0-36h) then TNF-alpha 1 ng/mL (36-72h),
451lu_in_vitro__schedule_tnf_alpha_1_ng_ml_0_36h_then_birinapant_0_nm_36_72h,451lu_in_vitro,Schedule: TNF-alpha 1 ng/mL (0-36h) then birinapant 0 nM (36-72h),
451lu_in_vitro__schedule_tnf_alpha_1_ng_ml_0_36h_then_birinapant_1000_nm_36_72h,451lu_in_vitro,Schedule: TNF-alpha 1 ng/mL (0-36h) then birinapant 1000 nM (36-72h),
451lu_in_vitro__schedule_tnf_alpha_1_ng_ml_0_36h_then_birinapant_100_nm_36_72h,451lu_in_vitro,Schedule: TNF-alpha 1 ng/mL (0-36h) then birinapant 100 nM (36-72h),
451lu_in_vitro__schedule_tnf_alpha_1_ng_ml_0_36h_then_birinapant_10_nm_36_72h,451lu_in_vitro,Schedule: TNF-alpha 1 ng/mL (0-36h) then birinapant 10 nM (36-72h),
451lu_in_vitro__schedule_tnf_alpha_1_ng_ml_0_36h_then_birinapant_1_nm_36_72h,451lu_in_vitro,Schedule: TNF-alpha 1 ng/mL (0-36h) then birinapant 1 nM (36-72h),
451lu_in_vitro__tnf_alpha_1_ng_ml_48_h,451lu_in_vitro,"TNF-alpha 1 ng/mL, 48 h",
451lu_in_vitro__vehicle_control,451lu_in_vitro,Vehicle control,
451lu_spheroid__birinapant_1000_nm_tnf_alpha_1_ng_ml_72_h_spheroid,451lu_spheroid,"Birinapant 1000 nM + TNF-alpha 1 ng/mL, 72 h (spheroid)",
451lu_xenograft__birinapant_30_mg_kg_ip_24_h_post_dose,451lu_xenograft,"Birinapant 30 mg/kg IP, 24 h post-dose",
451lu_xenograft__birinapant_30_mg_kg_ip_3x_week,451lu_xenograft,Birinapant 30 mg/kg IP 3x/week,
451lu_xenograft__birinapant_30_mg_kg_ip_twice_at_48_h_interval,451lu_xenograft,"Birinapant 30 mg/kg IP, twice at 48 h interval",
451lu_xenograft__vehicle_control_xenograft,451lu_xenograft,Vehicle control (xenograft),
birinapant_resistant_lines_pooled__tnf_alpha_1_ng_ml,birinapant_resistant_lines_pooled,TNF-alpha 1 ng/mL,
birinapant_resistant_lines_pooled__untreated,birinapant_resistant_lines_pooled,Untreated,
birinapant_sensitive_lines_pooled__tnf_alpha_1_ng_ml,birinapant_sensitive_lines_pooled,TNF-alpha 1 ng/mL,
birinapant_sensitive_lines_pooled__untreated,birinapant_sensitive_lines_pooled,Untreated,
c8161_in_vitro__birinapant_alone_dose_response_72_h,c8161_in_vitro,"Birinapant alone, dose-response, 72 h",
c8161_in_vitro__birinapant_tnf_alpha_1_ng_ml_dose_response_72_h,c8161_in_vitro,"Birinapant + TNF-alpha 1 ng/mL, dose-response, 72 h",
uacc_62_in_vitro__birinapant_alone_dose_response_72_h,uacc_62_in_vitro,"Birinapant alone, dose-response, 72 h",
uacc_62_in_vitro__birinapant_tnf_alpha_1_ng_ml_dose_response_72_h,uacc_62_in_vitro,"Birinapant + TNF-alpha 1 ng/mL, dose-response, 72 h",
wm1341d_in_vitro__birinapant_tnf_alpha_1_ng_ml_dose_response_72_h,wm1341d_in_vitro,"Birinapant + TNF-alpha 1 ng/mL, dose-response, 72 h",
wm1366_in_vitro__birinapant_1000_nm_48_h,wm1366_in_vitro,"Birinapant 1000 nM, 48 h",
wm1366_in_vitro__birinapant_1000_nm_tnf_alpha_1_ng_ml_24_h,wm1366_in_vitro,"Birinapant 1000 nM + TNF-alpha 1 ng/mL, 24 h",
wm1366_in_vitro__birinapant_1000_nm_tnf_alpha_1_ng_ml_48_h,wm1366_in_vitro,"Birinapant 1000 nM + TNF-alpha 1 ng/mL, 48 h",
wm1366_in_vitro__birinapant_1_um_tnf_alpha_1_ng_ml_necrostatin_1_0_um_72_h,wm1366_in_vitro,"Birinapant 1 uM + TNF-alpha 1 ng/mL + Necrostatin-1 0 uM, 72 h",
wm1366_in_vitro__birinapant_1_um_tnf_alpha_1_ng_ml_necrostatin_1_10_um_72_h,wm1366_in_vitro,"Birinapant 1 uM + TNF-alpha 1 ng/mL + Necrostatin-1 10 uM, 72 h",
wm1366_in_vitro__birinapant_1_um_tnf_alpha_1_ng_ml_z_vad_fmk_0_um_72_h,wm1366_in_vitro,"Birinapant 1 uM + TNF-alpha 1 ng/mL + Z-VAD-FMK 0 uM, 72 h",
wm1366_in_vitro__birinapant_1_um_tnf_alpha_1_ng_ml_z_vad_fmk_10_um_72_h,wm1366_in_vitro,"Birinapant 1 uM + TNF-alpha 1 ng/mL + Z-VAD-FMK 10 uM, 72 h",
wm1366_in_vitro__birinapant_tnf_alpha_1_ng_ml_dose_response_72_h,wm1366_in_vitro,"Birinapant + TNF-alpha 1 ng/mL, dose-response, 72 h",
wm1366_in_vitro__tnf_alpha_1_ng_ml_48_h,wm1366_in_vitro,"TNF-alpha 1 ng/mL, 48 h",
wm1366_in_vitro__vehicle_control,wm1366_in_vitro,Vehicle control,
wm1366_spheroid__birinapant_1000_nm_tnf_alpha_1_ng_ml_72_h_spheroid,wm1366_spheroid,"Birinapant 1000 nM + TNF-alpha 1 ng/mL, 72 h (spheroid)",
wm164_in_vitro__birinapant_tnf_alpha_1_ng_ml_dose_response_72_h,wm164_in_vitro,"Birinapant + TNF-alpha 1 ng/mL, dose-response, 72 h",
wm1799_in_vitro__birinapant_alone_dose_response_72_h,wm1799_in_vitro,"Birinapant alone, dose-response, 72 h",
wm1799_in_vitro__birinapant_tnf_alpha_1_ng_ml_dose_response_72_h,wm1799_in_vitro,"Birinapant + TNF-alpha 1 ng/mL, dose-response, 72 h",
wm1985_in_vitro__birinapant_tnf_alpha_1_ng_ml_dose_response_72_h,wm1985_in_vitro,"Birinapant + TNF-alpha 1 ng/mL, dose-response, 72 h",
wm3130_in_vitro__birinapant_tnf_alpha_1_ng_ml_dose_response_72_h,wm3130_in_vitro,"Birinapant + TNF-alpha 1 ng/mL, dose-response, 72 h",
wm3670_in_vitro__birinapant_alone_dose_response_72_h,wm3670_in_vitro,"Birinapant alone, dose-response, 72 h",
wm3670_in_vitro__birinapant_tnf_alpha_1_ng_ml_dose_response_72_h,wm3670_in_vitro,"Birinapant + TNF-alpha 1 ng/mL, dose-response, 72 h",
wm3854_in_vitro__birinapant_tnf_alpha_1_ng_ml_dose_response_72_h,wm3854_in_vitro,"Birinapant + TNF-alpha 1 ng/mL, dose-response, 72 h",
wm3918_in_vitro__birinapant_alone_dose_response_72_h,wm3918_in_vitro,"Birinapant alone, dose-response, 72 h",
wm3918_in_vitro__birinapant_tnf_alpha_1_ng_ml_dose_response_72_h,wm3918_in_vitro,"Birinapant + TNF-alpha 1 ng/mL, dose-response, 72 h",
wm793b_in_vitro__birinapant_tnf_alpha_1_ng_ml_dose_response_72_h,wm793b_in_vitro,"Birinapant + TNF-alpha 1 ng/mL, dose-response, 72 h",
wm8_in_vitro__birinapant_alone_dose_response_72_h,wm8_in_vitro,"Birinapant alone, dose-response, 72 h",
wm8_in_vitro__birinapant_tnf_alpha_1_ng_ml_dose_response_72_h,wm8_in_vitro,"Birinapant + TNF-alpha 1 ng/mL, dose-response, 72 h",
wm9_in_vitro__birinapant_0_nm_72_h,wm9_in_vitro,"Birinapant 0 nM, 72 h",
wm9_in_vitro__birinapant_1000_nm_24_h,wm9_in_vitro,"Birinapant 1000 nM, 24 h",
wm9_in_vitro__birinapant_1000_nm_48_h,wm9_in_vitro,"Birinapant 1000 nM, 48 h",
wm9_in_vitro__birinapant_1000_nm_72_h,wm9_in_vitro,"Birinapant 1000 nM, 72 h",
wm9_in_vitro__birinapant_1000_nm_tnf_alpha_1_ng_ml_48_h,wm9_in_vitro,"Birinapant 1000 nM + TNF-alpha 1 ng/mL, 48 h",
wm9_in_vitro__birinapant_1000_nm_tnf_alpha_blocking_mab_0_001_ug_ml_72_h,wm9_in_vitro,"Birinapant 1000 nM + TNF-alpha blocking mAb 0.001 ug/mL, 72 h",
wm9_in_vitro__birinapant_1000_nm_tnf_alpha_blocking_mab_0_01_ug_ml_72_h,wm9_in_vitro,"Birinapant 1000 nM + TNF-alpha blocking mAb 0.01 ug/mL, 72 h",
wm9_in_vitro__birinapant_1000_nm_tnf_alpha_blocking_mab_0_1_ug_ml_72_h,wm9_in_vitro,"Birinapant 1000 nM + TNF-alpha blocking mAb 0.1 ug/mL, 72 h",
wm9_in_vitro__birinapant_1000_nm_tnf_alpha_blocking_mab_10_ug_ml_72_h,wm9_in_vitro,"Birinapant 1000 nM + TNF-alpha blocking mAb 10 ug/mL, 72 h",
wm9_in_vitro__birinapant_1000_nm_tnf_alpha_blocking_mab_1_ug_ml_72_h,wm9_in_vitro,"Birinapant 1000 nM + TNF-alpha blocking mAb 1 ug/mL, 72 h",
wm9_in_vitro__birinapant_100_nm_72_h,wm9_in_vitro,"Birinapant 100 nM, 72 h",
wm9_in_vitro__birinapant_10_nm_72_h,wm9_in_vitro,"Birinapant 10 nM, 72 h",
wm9_in_vitro__birinapant_1_nm_72_h,wm9_in_vitro,"Birinapant 1 nM, 72 h",
wm9_in_vitro__birinapant_alone_dose_response_72_h,wm9_in_vitro,"Birinapant alone, dose-response, 72 h",
wm9_in_vitro__birinapant_tnf_alpha_1_ng_ml_dose_response_72_h,wm9_in_vitro,"Birinapant + TNF-alpha 1 ng/mL, dose-response, 72 h",
wm9_in_vitro__tnf_alpha_1_ng_ml_48_h,wm9_in_vitro,"TNF-alpha 1 ng/mL, 48 h",
wm9_in_vitro__vehicle_control,wm9_in_vitro,Vehicle control,
wm9_spheroid__birinapant_1000_nm_tnf_alpha_1_ng_ml_72_h_spheroid,wm9_spheroid,"Birinapant 1000 nM + TNF-alpha 1 ng/mL, 72 h (spheroid)",
wth202_in_vitro__birinapant_tnf_alpha_1_ng_ml_dose_response_72_h,wth202_in_vitro,"Birinapant + TNF-alpha 1 ng/mL, dose-response, 72 h",
